store_code,report_date,ro_count,labor_sales,parts_sales,labor_hours,cp_labor_sales,warranty_labor_sales,internal_labor_sales
CR1,2025-10-06,29,7715.45,5886.80,51.2,5444.69,1567.69,703.07
CR1,2025-10-07,33,7400.00,5634.92,51.3,4564.35,1970.20,865.45
CR1,2025-10-08,42,10928.49,10582.33,72.7,7390.76,2962.69,575.04
CR1,2025-10-09,36,8361.45,7329.39,55.6,5433.00,2500.60,427.85
CR1,2025-10-10,34,8769.45,7058.56,56.2,7004.73,1430.89,333.83
CR1,2025-10-11,19,4835.02,3681.67,31.0,4189.71,316.18,329.13
CR1,2025-10-12,2,763.80,767.69,5.1,365.96,397.84,0.00
CR1,2025-10-13,35,10117.55,9029.92,69.3,7613.90,1089.44,1414.21
CR1,2025-10-14,39,9938.04,9234.59,63.9,8397.72,766.51,773.81
CR1,2025-10-15,40,10897.63,10219.44,71.9,8214.89,1930.51,752.23
CR1,2025-10-16,30,7785.77,7577.68,51.0,5834.58,1373.37,577.82
CR1,2025-10-17,36,9665.82,8815.48,61.1,7833.99,1538.56,293.27
CR1,2025-10-18,22,4912.74,4641.06,32.2,3801.40,738.75,372.59
CR1,2025-10-19,6,1299.33,1144.32,8.9,1030.24,82.33,186.76
CR1,2025-10-20,33,9124.22,8422.82,59.1,6875.04,1755.16,494.02
CR1,2025-10-21,32,7609.54,7727.73,53.4,4353.69,2129.67,1126.18
CR1,2025-10-22,36,9183.41,6921.48,60.1,6050.11,3033.85,99.45
CR1,2025-10-23,41,10607.01,8464.45,70.7,7155.46,2651.64,799.91
CR1,2025-10-24,34,8866.69,7703.90,61.6,6112.02,1017.25,1737.42
CR1,2025-10-25,31,7305.93,4822.90,49.4,5574.75,754.52,976.66
CR1,2025-10-26,9,2352.17,1923.45,15.7,2065.61,0.00,286.56
CR1,2025-10-27,26,6388.32,5047.04,41.1,4573.80,1786.64,27.88
CR1,2025-10-28,38,11385.64,10365.84,74.0,8417.03,2656.54,312.07
CR1,2025-10-29,31,7759.91,6262.72,51.5,5103.14,2129.20,527.57
CR1,2025-10-30,35,8388.35,6723.16,55.9,5456.56,2549.50,382.29
CR1,2025-10-31,32,8249.17,6614.07,54.3,4698.69,3550.48,0.00
CR1,2025-11-01,19,4028.67,2828.75,27.1,3024.05,480.92,523.70
CR1,2025-11-02,10,3034.06,2703.00,19.8,2368.40,553.65,112.01
CR1,2025-11-03,32,8045.77,5436.92,52.9,6046.80,1597.21,401.76
CR1,2025-11-04,26,6945.06,5966.15,46.9,5167.15,899.87,878.04
CR1,2025-11-05,39,10319.84,7504.75,67.2,7578.95,2352.36,388.53
CR1,2025-11-06,44,10690.35,8022.41,70.4,7247.14,2918.49,524.72
CR1,2025-11-07,34,8294.51,7185.03,59.7,4012.78,2960.32,1321.41
CR1,2025-11-08,15,3587.22,2656.53,25.4,2034.81,1047.05,505.36
CR1,2025-11-09,3,756.53,668.17,4.5,756.53,0.00,0.00
CR1,2025-11-10,32,8610.01,6673.14,58.9,6111.22,1370.50,1128.29
CR1,2025-11-11,24,5907.51,4411.41,39.2,4505.13,788.76,613.62
CR1,2025-11-12,45,11398.16,10898.22,75.5,8334.84,2068.71,994.61
CR1,2025-11-13,41,12653.30,12033.69,81.2,8948.08,3499.38,205.84
CR1,2025-11-14,44,12006.84,10336.07,79.9,9375.99,1279.91,1350.94
CR1,2025-11-15,32,8113.40,6509.25,55.5,5238.27,1902.96,972.17
CR1,2025-11-16,5,1021.40,937.22,7.3,474.81,405.60,140.99
CR1,2025-11-17,29,6728.33,6067.81,46.4,4604.89,1031.01,1092.43
CR1,2025-11-18,37,9953.63,9380.09,62.7,8251.51,1675.33,26.79
CR1,2025-11-19,37,10159.95,7952.50,68.2,7447.52,1598.79,1113.64
CR1,2025-11-20,38,9639.87,7034.82,64.4,6390.98,2642.39,606.50
CR1,2025-11-21,33,8495.25,7025.79,56.6,6117.07,1547.16,831.02
CR1,2025-11-22,21,5318.30,4287.54,34.8,4246.38,649.94,421.98
CR1,2025-11-23,11,3157.51,3170.34,22.7,1603.15,1130.33,424.03
CR1,2025-11-24,35,9934.71,8086.13,66.5,6582.84,2462.04,889.83
CR1,2025-11-25,37,8623.72,7567.24,54.8,6777.63,1738.29,107.80
CR1,2025-11-26,41,9931.32,8064.91,66.8,6488.76,2518.29,924.27
CR1,2025-11-27,35,8578.14,7850.39,59.7,5508.19,1690.17,1379.78
CR1,2025-11-28,37,10245.17,8013.72,66.6,7946.35,1678.99,619.83
CR1,2025-11-29,27,5474.93,4986.68,38.9,3297.25,1299.71,877.97
CR1,2025-11-30,8,1818.75,1581.21,12.0,1448.73,220.24,149.78
CR1,2025-12-01,40,11459.24,10160.59,76.7,8251.31,2105.76,1102.17
CR1,2025-12-02,28,7365.95,6296.88,46.7,5485.37,1852.17,28.41
CR1,2025-12-03,38,8384.31,7331.46,56.6,6310.02,1167.70,906.59
CR1,2025-12-04,43,12207.34,10441.90,81.4,8405.19,2927.55,874.60
CR1,2025-12-05,34,9262.73,6592.97,59.6,7206.97,1705.80,349.96
CR1,2025-12-06,19,5439.09,4838.09,37.7,3749.19,762.22,927.68
CR1,2025-12-07,4,991.56,673.24,5.9,991.56,0.00,0.00
CR1,2025-12-08,35,8390.49,8149.22,58.7,4665.65,2784.82,940.02
CR1,2025-12-09,28,7091.87,5988.72,47.7,4842.91,1699.29,549.67
CR1,2025-12-10,39,10824.35,7245.09,73.0,7222.67,2660.61,941.07
CR1,2025-12-11,33,9178.46,9044.39,60.4,5933.01,3113.95,131.50
CR1,2025-12-12,32,7179.66,5853.07,50.0,4545.35,1763.78,870.53
CR1,2025-12-13,23,5119.02,4495.95,34.3,3175.35,1617.42,326.25
CR1,2025-12-14,2,400.44,390.87,2.4,400.44,0.00,0.00
CR1,2025-12-15,32,8792.70,7095.97,56.6,6644.91,1830.27,317.52
CR1,2025-12-16,35,9920.69,7670.32,65.3,7089.43,2218.89,612.37
CR1,2025-12-17,31,8557.94,6928.85,58.9,5442.37,2055.77,1059.80
CR1,2025-12-18,40,11441.22,9890.68,73.8,8892.01,1935.31,613.90
CR1,2025-12-19,35,8850.46,8365.15,57.3,7139.17,1171.42,539.87
CR1,2025-12-20,23,6330.88,6123.07,41.3,4691.39,1221.23,418.26
CR1,2025-12-21,9,1607.38,1224.99,10.3,1383.21,51.56,172.61
CR1,2025-12-22,39,11435.13,8822.54,73.4,9370.82,1356.83,707.48
CR1,2025-12-23,30,6994.67,5527.04,46.4,4769.99,1870.60,354.08
CR1,2025-12-24,35,9027.89,7292.14,60.8,5756.88,2651.72,619.29
CR1,2025-12-25,42,10121.22,7837.67,67.1,7429.87,1598.10,1093.25
CR1,2025-12-26,36,9067.53,7446.82,61.3,5497.97,2888.75,680.81
CR1,2025-12-27,21,5415.99,3547.38,35.0,4149.67,990.42,275.90
CR1,2025-12-28,13,3663.84,3632.02,24.7,2157.54,1321.52,184.78
CR1,2025-12-29,40,10101.87,8878.77,67.7,7592.50,1232.27,1277.10
CR1,2025-12-30,36,10053.18,9041.53,68.5,6958.99,2002.02,1092.17
CR1,2025-12-31,30,6126.66,5038.45,42.6,3758.52,1487.44,880.70
CR1,2026-01-01,33,7809.61,6343.22,52.2,4323.86,3275.56,210.19
CR1,2026-01-02,38,11373.20,8629.60,72.7,8895.51,2142.50,335.19
CR1,2026-01-03,15,3716.83,3405.84,23.5,2692.79,983.38,40.66
CR1,2026-01-04,4,733.29,639.29,4.5,733.29,0.00,0.00
CR1,2026-01-05,22,5603.08,4879.15,38.1,3560.60,1543.79,498.69
CR1,2026-01-06,29,6871.54,6262.04,48.5,4135.09,1591.61,1144.84
CR1,2026-01-07,31,8377.65,7752.64,55.0,5775.09,2077.88,524.68
CR1,2026-01-08,36,9020.53,6871.87,61.9,5661.04,2413.61,945.88
CR1,2026-01-09,35,9946.63,9621.93,64.4,7756.16,1514.39,676.08
CR1,2026-01-10,23,6120.11,4588.38,39.8,4660.01,1143.69,316.41
CR1,2026-01-11,5,1639.66,1361.63,11.1,1454.72,0.00,184.94
CR1,2026-01-12,31,7967.63,6309.34,53.4,5382.15,1829.49,755.99
CR1,2026-01-13,33,9484.24,8266.12,62.7,6615.19,2061.64,807.41
CR1,2026-01-14,30,9057.32,8526.97,64.4,4881.20,2724.17,1451.95
CR1,2026-01-15,40,10694.94,8902.72,71.5,7823.40,1836.12,1035.42
CR1,2026-01-16,36,9447.08,7679.47,61.9,7260.93,1490.47,695.68
CR1,2026-01-17,35,9689.54,8521.23,65.9,7431.28,936.54,1321.72
CR1,2026-01-18,9,2707.33,2565.65,17.5,1653.18,1054.15,0.00
CR1,2026-01-19,34,7621.58,7110.56,51.3,5133.54,1908.96,579.08
CR1,2026-01-20,35,8476.05,6356.01,59.4,4624.48,2977.75,873.82
CR1,2026-01-21,39,10893.00,9794.33,70.8,7944.15,2433.80,515.05
CR1,2026-01-22,44,13082.35,11232.80,83.7,10449.57,2039.65,593.13
CR1,2026-01-23,40,10738.91,9189.80,69.3,9132.70,857.61,748.60
CR1,2026-01-24,23,5965.94,4753.05,42.1,3216.19,2048.14,701.61
CR1,2026-01-25,5,1293.07,1352.81,8.6,750.18,542.89,0.00
CR1,2026-01-26,35,9302.44,7251.63,61.8,6436.67,2128.28,737.49
CR1,2026-01-27,33,8895.20,6898.57,58.6,6019.49,2498.72,376.99
CR1,2026-01-28,39,10240.69,7753.02,65.7,8343.50,1421.05,476.14
CR1,2026-01-29,34,8302.25,6995.64,54.6,5257.71,2840.98,203.56
CR1,2026-01-30,41,10134.80,9277.66,66.7,7344.93,2218.36,571.51
CR1,2026-01-31,26,7878.03,6673.99,51.7,6234.89,1055.08,588.06
CR1,2026-02-01,6,1400.08,1266.61,9.5,1073.22,0.00,326.86
CR1,2026-02-02,25,6591.47,5497.07,44.8,4300.75,1544.91,745.81
CR1,2026-02-03,47,11776.43,10648.59,81.8,7518.75,2609.88,1647.80
CR1,2026-02-04,38,10179.68,8865.01,65.8,7992.79,1586.23,600.66
CR1,2026-02-05,41,10453.24,9756.04,70.6,7556.46,1692.46,1204.32
CR1,2026-02-06,19,4344.41,4773.02,30.2,3135.03,376.72,832.66
CR1,2026-02-07,24,7165.59,5440.36,48.2,4194.29,2770.03,201.27
CR1,2026-02-08,8,2387.08,1837.66,16.1,930.08,1457.00,0.00
CR1,2026-02-09,33,9395.62,8086.73,63.0,6631.13,1872.78,891.71
CR1,2026-02-10,29,7744.74,6669.65,50.9,6240.29,719.95,784.50
CR1,2026-02-11,25,6691.14,6730.47,43.4,5337.16,949.85,404.13
CR1,2026-02-12,32,9043.77,7230.20,57.8,7562.89,897.69,583.19
CR1,2026-02-13,38,9357.25,7977.64,59.8,7149.08,1960.51,247.66
CR1,2026-02-14,26,6495.74,4409.49,44.6,4054.66,1574.93,866.15
CR1,2026-02-15,3,1070.61,613.32,6.4,1070.61,0.00,0.00
CR1,2026-02-16,31,8061.63,6582.86,52.8,6076.61,1536.54,448.48
CR1,2026-02-17,36,8936.75,7731.39,59.5,6327.61,1791.61,817.53
CR1,2026-02-18,37,8681.63,7524.36,55.3,7073.41,1242.19,366.03
CR1,2026-02-19,41,9936.47,7477.63,62.6,8183.51,1594.90,158.06
CR1,2026-02-20,31,6864.42,5055.47,46.8,4381.63,1715.98,766.81
CR1,2026-02-21,19,6348.80,5299.63,42.1,4176.48,1842.65,329.67
CR1,2026-02-22,6,1730.72,1583.98,10.9,1316.80,413.92,0.00
CR1,2026-02-23,25,6333.19,5458.28,41.4,4264.34,1829.73,239.12
CR1,2026-02-24,27,7815.22,6080.32,50.1,5725.42,2089.80,0.00
CR1,2026-02-25,48,12717.06,10385.26,85.5,9327.31,1915.49,1474.26
CR1,2026-02-26,39,9433.24,7559.09,61.9,6658.03,2283.93,491.28
CR1,2026-02-27,41,9068.49,8379.14,61.9,5849.00,2289.54,929.95
CR1,2026-02-28,22,6610.51,5424.91,41.1,5995.17,493.62,121.72
CR1,2026-03-01,2,231.19,163.57,1.9,104.51,0.00,126.68
CR1,2026-03-02,33,9267.03,7457.96,62.5,6992.94,1106.15,1167.94
CR1,2026-03-03,40,10562.63,8693.12,71.0,6766.83,2901.30,894.50
CR1,2026-03-04,38,10038.17,8471.51,66.2,7111.23,2211.17,715.77
CR1,2026-03-05,32,7681.03,6494.29,52.6,5273.38,1390.00,1017.65
CR1,2026-03-06,33,8127.56,7630.32,53.2,6477.06,987.04,663.46
CR1,2026-03-07,12,3996.21,3240.32,25.7,2950.71,814.02,231.48
CR1,2026-03-08,3,757.07,673.76,5.5,527.87,0.00,229.20
CR1,2026-03-09,36,10196.09,7877.36,66.2,7948.17,1666.65,581.27
CR1,2026-03-10,24,5939.35,5053.21,38.8,4056.87,1627.32,255.16
CR1,2026-03-11,35,10046.58,8245.83,66.7,6615.44,2737.84,693.30
CR1,2026-03-12,37,8501.66,6516.46,57.9,5097.72,2585.90,818.04
CR1,2026-03-13,37,8566.98,6428.36,56.6,5935.28,1994.98,636.72
CR1,2026-03-14,27,6300.90,4567.09,43.1,4704.43,782.14,814.33
CR1,2026-03-15,5,1347.85,1065.76,8.9,943.43,322.87,81.55
CR1,2026-03-16,24,6918.57,5945.87,43.9,5901.61,539.00,477.96
CR1,2026-03-17,31,7602.99,6025.83,50.4,4934.91,2257.94,410.14
CR1,2026-03-18,28,8124.12,5681.57,52.7,6094.31,1608.62,421.19
CR1,2026-03-19,30,8585.55,5857.22,57.0,6036.12,1864.04,685.39
CR1,2026-03-20,32,8213.00,6952.76,52.9,6245.76,1567.44,399.80
CR1,2026-03-21,26,6953.02,6146.99,45.6,4997.51,1581.85,373.66
CR1,2026-03-22,6,1383.44,1357.13,8.4,1284.95,98.49,0.00
CR1,2026-03-23,35,8944.73,7338.30,64.3,5076.26,2224.66,1643.81
CR1,2026-03-24,28,7875.99,6458.59,53.0,4921.67,2426.42,527.90
CR1,2026-03-25,31,7613.88,6549.69,53.1,4690.89,1617.25,1305.74
CR1,2026-03-26,33,7788.82,6468.37,54.0,5340.00,1310.49,1138.33
CR1,2026-03-27,43,10342.39,9554.14,68.9,6881.89,2770.96,689.54
CR1,2026-03-28,17,4202.63,2843.68,26.1,3897.61,217.66,87.36
CR1,2026-03-29,6,1075.98,1044.90,7.8,794.40,0.00,281.58
CR1,2026-03-30,33,8777.29,6991.54,59.8,6479.51,983.06,1314.72
CR1,2026-03-31,40,9596.74,7902.10,60.8,7862.68,1360.37,373.69
CR1,2026-04-01,34,7784.27,5741.97,53.5,4470.62,2540.95,772.70
CR1,2026-04-02,38,10250.09,8750.23,66.5,7649.57,1843.52,757.00
CR1,2026-04-03,34,9312.60,7523.04,60.5,6320.14,2800.98,191.48
CR1,2026-04-04,22,5013.24,4086.83,36.1,2190.28,2172.93,650.03
CR1,2026-04-05,6,2036.05,2115.04,14.8,518.12,1334.96,182.97
CR1,2026-04-06,34,9197.88,7092.40,62.3,6787.15,1175.00,1235.73
CR1,2026-04-07,42,11895.55,10383.59,82.8,7075.00,3597.35,1223.20
CR1,2026-04-08,35,9128.37,7371.10,61.8,6608.76,1514.23,1005.38
CR1,2026-04-09,50,13063.12,10281.47,84.6,10889.89,1328.07,845.16
CR1,2026-04-10,28,6943.29,6733.64,43.6,5385.54,1557.75,0.00
CR1,2026-04-11,24,6696.97,4444.96,45.3,3953.57,2354.61,388.79
CR1,2026-04-12,4,1387.50,1367.80,8.4,1387.50,0.00,0.00
CR1,2026-04-13,26,6524.70,4636.51,46.4,3555.75,1916.57,1052.38
CR1,2026-04-14,30,7930.83,6304.63,50.9,6638.83,935.27,356.73
CR1,2026-04-15,38,10103.76,7998.06,65.1,7667.68,1892.97,543.11
CR1,2026-04-16,33,8445.31,8047.91,58.6,5598.61,1654.13,1192.57
CR1,2026-04-17,42,10217.40,10105.34,68.0,7474.16,1820.37,922.87
CR1,2026-04-18,9,1683.13,1559.68,11.7,685.72,888.13,109.28
CR1,2026-04-19,2,409.27,367.15,2.5,409.27,0.00,0.00
CR1,2026-04-20,35,10226.89,8856.14,66.5,7366.21,2608.57,252.11
CR1,2026-04-21,37,9130.39,7881.57,59.6,6945.04,1487.08,698.27
CR1,2026-04-22,47,12430.42,9135.67,78.8,10248.93,1726.96,454.53
CR1,2026-04-23,45,10545.06,8717.36,72.9,6738.35,2428.92,1377.79
CR1,2026-04-24,36,9990.03,9891.55,66.4,7111.76,2341.89,536.38
CR1,2026-04-25,28,8200.57,6234.25,52.7,6860.66,535.99,803.92
CR1,2026-04-26,3,1069.05,965.72,6.4,1069.05,0.00,0.00
CR1,2026-04-27,31,8502.56,7599.57,53.0,7050.07,1452.49,0.00
CR1,2026-04-28,34,8718.80,7474.05,58.1,6396.67,1359.01,963.12
CR1,2026-04-29,30,8357.82,8332.94,53.3,6608.42,1599.26,150.14
CR1,2026-04-30,30,6695.40,5970.93,44.4,5250.01,773.46,671.93
CR1,2026-05-01,35,9549.01,7262.02,63.8,6294.99,2591.50,662.52
CR1,2026-05-02,22,6577.62,5668.75,43.4,4552.49,1627.11,398.02
CR1,2026-05-03,7,2109.84,1947.03,14.3,1605.16,250.10,254.58
CR1,2026-05-04,26,6946.91,5877.77,45.3,4831.64,1879.79,235.48
CR1,2026-05-05,32,8670.20,6331.05,59.7,5721.26,1983.11,965.83
CR1,2026-05-06,28,7583.25,6330.09,48.4,6006.09,1237.65,339.51
CR1,2026-05-07,33,8302.99,6914.54,56.8,5020.83,2486.72,795.44
CR1,2026-05-08,40,11156.00,8917.95,71.6,8921.65,1760.87,473.48
CR1,2026-05-09,26,7541.52,5184.84,48.2,4974.77,2566.75,0.00
CR1,2026-05-10,3,1066.75,958.76,6.9,772.40,294.35,0.00
CR1,2026-05-11,34,8756.58,7789.55,57.0,6781.29,1480.05,495.24
CR1,2026-05-12,31,7942.47,6755.82,51.7,6102.08,1465.59,374.80
CR1,2026-05-13,30,8565.21,6328.90,55.8,6760.97,1365.97,438.27
CR1,2026-05-14,36,10627.47,9092.79,67.3,8850.57,1303.41,473.49
CR1,2026-05-15,31,7940.38,6834.98,54.3,5807.74,900.29,1232.35
CR1,2026-05-16,37,9054.69,7698.82,60.0,6632.38,1585.59,836.72
CR1,2026-05-17,3,868.05,737.85,6.0,683.19,0.00,184.86
CR1,2026-05-18,36,9383.86,8003.47,61.8,7134.01,1459.51,790.34
CR1,2026-05-19,28,8561.39,8004.21,57.1,5173.79,3125.47,262.13
CR1,2026-05-20,23,5865.59,5675.30,38.6,4837.15,381.03,647.41
CR1,2026-05-21,35,8574.21,8193.27,56.2,6526.76,1418.99,628.46
CR1,2026-05-22,33,8458.55,7410.16,55.1,6156.20,1910.23,392.12
CR1,2026-05-23,15,3613.14,2450.23,27.0,1279.66,1693.92,639.56
CR1,2026-05-24,3,527.66,577.65,3.5,358.05,169.61,0.00
CR1,2026-05-25,28,7234.42,5784.54,51.2,4434.30,1492.39,1307.73
CR1,2026-05-26,40,9939.73,8403.53,64.2,7746.06,1917.71,275.96
CR1,2026-05-27,38,10650.59,7771.43,70.0,7796.40,2356.57,497.62
CR1,2026-05-28,41,11426.76,10144.71,74.6,8053.48,2989.46,383.82
CR1,2026-05-29,25,6128.79,4824.49,41.6,4598.51,729.89,800.39
CR1,2026-05-30,10,2488.15,1966.79,17.5,1586.73,511.56,389.86
CR1,2026-05-31,6,1074.18,1139.57,7.1,928.82,0.00,145.36
CR1,2026-06-01,37,9314.95,8407.54,62.8,6395.67,2008.35,910.93
CR1,2026-06-02,41,10613.97,8963.49,72.3,6429.03,3226.10,958.84
CR1,2026-06-03,29,7019.64,5665.99,50.3,4393.87,1173.02,1452.75
CR1,2026-06-04,33,8827.84,6981.77,60.7,5374.30,2572.75,880.79
CR1,2026-06-05,39,10865.31,10078.18,71.6,8242.56,1663.47,959.28
CR1,2026-06-06,17,4939.53,3171.70,30.6,4167.79,771.74,0.00
CR1,2026-06-07,6,1016.03,990.87,7.5,575.64,133.23,307.16
CR1,2026-06-08,26,6436.37,6042.87,46.3,4121.79,1126.50,1188.08
CR1,2026-06-09,32,7904.10,6386.83,55.8,5298.11,1204.84,1401.15
CR1,2026-06-10,44,12195.78,10941.21,84.4,7546.91,3313.06,1335.81
CR1,2026-06-11,30,7999.45,6684.02,52.9,6008.09,995.75,995.61
CR1,2026-06-12,26,7145.28,6132.78,46.8,5038.61,1737.80,368.87
CR1,2026-06-13,17,4989.32,4831.92,33.5,3083.78,1669.30,236.24
CR1,2026-06-14,3,287.94,301.40,2.9,48.45,0.00,239.49
CR1,2026-06-15,33,8049.71,7343.83,55.3,4797.02,2655.14,597.55
CR1,2026-06-16,32,9108.12,7655.59,56.6,7747.72,1199.79,160.61
CR1,2026-06-17,30,7128.39,6106.97,47.4,5368.06,1225.79,534.54
CR1,2026-06-18,31,7052.68,5687.15,47.4,4784.65,1721.68,546.35
CR1,2026-06-19,42,11284.71,9811.20,74.1,8539.73,1976.18,768.80
CR1,2026-06-20,25,6272.98,5476.13,42.8,4159.67,1356.89,756.42
CR1,2026-06-21,5,948.36,841.49,7.0,395.30,334.13,218.93
CR1,2026-06-22,32,9480.94,7963.95,63.4,6451.51,2490.69,538.74
CR1,2026-06-23,24,5900.89,5251.20,41.0,3676.07,1511.36,713.46
CR1,2026-06-24,31,9048.09,7919.94,59.3,6477.73,2158.30,412.06
CR1,2026-06-25,33,8703.86,7031.75,58.1,6204.76,1799.69,699.41
CR1,2026-06-26,46,12843.12,9695.32,86.8,8005.88,4023.13,814.11
CR1,2026-06-27,26,6278.03,5734.89,42.7,3798.85,2038.60,440.58
CR1,2026-06-28,6,1888.54,1609.11,13.1,1513.24,0.00,375.30
CR1,2026-06-29,26,7754.54,6420.07,50.3,6289.49,644.03,821.02
CR1,2026-06-30,41,10132.69,9081.54,70.0,6535.33,2449.10,1148.26
CR1,2026-07-01,38,9472.27,8595.89,66.2,5268.73,2792.67,1410.87
CR1,2026-07-02,33,7831.82,6583.70,50.1,6335.59,1102.20,394.03
CR1,2026-07-03,31,8493.83,6299.25,56.7,5675.59,2320.04,498.20
CR1,2026-07-04,23,5643.19,5261.17,37.1,3755.12,1526.05,362.02
CR1,2026-07-05,5,1466.64,1379.00,10.1,788.37,551.99,126.28
CR1,2026-07-06,37,10756.96,10081.36,70.3,8918.21,840.24,998.51
CR1,2026-07-07,36,7854.54,6236.11,54.4,5242.02,1511.73,1100.79
CR1,2026-07-08,35,8587.51,7206.77,56.0,6775.86,1110.48,701.17
CR1,2026-07-09,29,9390.97,6767.02,61.2,7742.50,754.04,894.43
CR1,2026-07-10,31,7351.59,6185.98,48.4,5484.82,1389.63,477.14
CR1,2026-07-11,22,6180.16,5387.51,41.4,3881.95,2030.29,267.92
CR1,2026-07-12,7,1799.26,1662.88,11.0,1657.61,141.65,0.00
CR1,2026-07-13,28,6759.15,4789.49,43.9,5865.01,309.75,584.39
CR1,2026-07-14,26,6249.11,6250.70,39.6,4719.82,1500.29,29.00
CR1,2026-07-15,42,10446.05,8780.52,70.9,6929.91,2543.72,972.42
CR1,2026-07-16,37,10148.86,8713.70,66.8,7739.45,1475.13,934.28
CR1,2026-07-17,36,8304.17,5819.02,56.5,5491.22,1781.90,1031.05
CR1,2026-07-18,28,6507.64,5273.57,46.8,2650.26,2950.88,906.50
CR1,2026-07-19,9,2437.97,1851.03,16.1,1747.36,457.07,233.54
CR1,2026-07-20,31,9864.44,8501.42,61.5,8477.06,1153.96,233.42
CR1,2026-07-21,33,8436.13,6069.30,54.5,5691.06,2551.69,193.38
CR1,2026-07-22,25,5743.48,4429.42,38.0,3864.46,1503.13,375.89
CR1,2026-07-23,33,8718.18,6506.61,55.2,7147.33,1294.15,276.70
CR1,2026-07-24,34,9972.23,8490.25,66.8,6594.64,2767.05,610.54
CR1,2026-07-25,19,5072.32,4234.57,35.1,3362.46,931.14,778.72
CR1,2026-07-26,12,3615.51,3154.69,23.8,2860.91,370.39,384.21
CR1,2026-07-27,27,6963.88,5760.23,47.0,4963.42,1012.02,988.44
CR1,2026-07-28,32,8573.49,7802.27,57.1,5615.43,2208.02,750.04
CR1,2026-07-29,38,10501.12,9993.58,69.6,7756.50,1734.73,1009.89
CR1,2026-07-30,36,9090.54,7585.23,60.1,6601.57,1937.58,551.39
CR1,2026-07-31,33,8373.11,7743.05,54.7,5846.62,2121.90,404.59
CR1,2026-08-01,15,4294.23,3846.91,26.5,3793.80,439.99,60.44
CR1,2026-08-02,9,3274.17,2543.21,21.4,2718.10,165.30,390.77
CR1,2026-08-03,38,8729.36,7345.17,58.1,6208.38,1683.29,837.69
CR1,2026-08-04,39,10514.40,8869.33,69.0,8062.72,1677.81,773.87
CR1,2026-08-05,32,8299.68,7478.92,54.9,5347.78,2684.31,267.59
CR1,2026-08-06,32,8875.71,6776.53,57.9,6660.64,1555.80,659.27
