ro_number,store_code,open_date,close_date,advisor_id,technician_id,pay_type,ro_type,labor_hours,labor_sales,parts_sales
900045,CR2,2025-09-01,2025-09-01,1030,1032,C,maintenance,1.6,278.99,341.87
900046,CR2,2025-09-01,2025-09-01,1029,1033,W,recall,3.6,509.36,377.70
900047,CR2,2025-09-01,2025-09-01,1029,1033,I,repair,1.9,183.06,0.00
900048,CR2,2025-09-01,2025-09-01,1028,1032,C,repair,0.8,138.41,142.72
900049,CR2,2025-09-01,2025-09-02,1030,1033,W,maintenance,0.9,116.32,123.46
900050,CR2,2025-09-01,2025-09-02,1030,1035,C,maintenance,1.1,185.97,156.12
900051,CR2,2025-09-01,2025-09-01,1029,1034,I,internal_recon,0.8,78.54,71.45
900052,CR3,2025-09-01,2025-09-01,1050,1062,C,internal_recon,2.1,340.33,261.47
900053,CR3,2025-09-01,2025-09-01,1053,1054,W,internal_recon,1.1,145.95,134.59
900054,CR3,2025-09-01,2025-09-01,1053,1060,I,internal_recon,2.8,265.76,269.64
900055,CR3,2025-09-01,2025-09-01,1049,1061,C,internal_recon,3.0,521.68,340.24
900056,CR3,2025-09-01,2025-09-01,1051,1057,C,maintenance,1.4,234.20,223.37
900057,CR3,2025-09-01,2025-09-03,1053,1059,C,repair,1.3,219.23,183.96
900058,CR3,2025-09-01,2025-09-01,1052,1057,C,repair,2.0,328.91,374.05
900059,CR3,2025-09-01,2025-09-01,1050,1062,W,repair,0.8,111.90,68.79
900060,CR3,2025-09-01,2025-09-02,1052,1056,C,maintenance,2.6,430.69,467.14
900061,CR3,2025-09-01,2025-09-01,1051,1056,I,internal_recon,2.4,219.07,211.86
900062,CR3,2025-09-01,2025-09-01,1049,1056,W,maintenance,2.3,295.74,363.74
900063,CR3,2025-09-01,2025-09-03,1049,1061,C,repair,2.3,402.00,514.55
900064,CR3,2025-09-01,2025-09-03,1052,1059,W,repair,0.8,106.69,0.00
900065,CR3,2025-09-01,2025-09-01,1049,1058,I,internal_recon,0.6,59.96,47.90
900066,CR3,2025-09-01,2025-09-01,1049,1054,C,repair,1.3,225.76,147.33
900067,CR3,2025-09-01,2025-09-01,1051,1061,C,repair,1.7,298.56,229.77
900068,CR3,2025-09-01,2025-09-01,1049,1061,C,repair,0.9,147.42,152.22
900069,CR3,2025-09-01,2025-09-02,1052,1060,W,repair,1.5,202.45,197.12
900070,CR3,2025-09-01,2025-09-06,1051,1061,C,repair,1.1,187.04,116.50
900071,CR3,2025-09-01,2025-09-01,1049,1054,C,maintenance,1.6,280.48,0.00
900072,CR3,2025-09-01,2025-09-01,1053,1057,C,repair,1.6,259.52,156.45
900073,CR3,2025-09-01,2025-09-01,1051,1060,C,internal_recon,1.7,276.90,203.50
900074,CR3,2025-09-01,2025-09-01,1053,1058,C,maintenance,0.3,51.70,64.10
900075,CR3,2025-09-01,2025-09-01,1053,1059,I,internal_recon,2.9,281.34,303.36
900076,CR3,2025-09-01,2025-09-02,1051,1061,C,repair,1.6,268.31,0.00
900077,CR3,2025-09-01,2025-09-01,1052,1060,C,maintenance,0.6,103.80,75.18
900078,CR3,2025-09-01,2025-09-01,1052,1054,C,maintenance,1.9,300.51,361.70
900079,CR3,2025-09-01,2025-09-01,1050,1056,C,repair,0.9,144.80,168.83
900080,CR3,2025-09-01,2025-09-01,1050,1058,C,repair,1.5,248.34,153.14
900081,CR3,2025-09-01,2025-09-01,1050,1060,W,recall,3.4,465.80,0.00
900082,CR3,2025-09-01,2025-09-01,1053,1060,W,repair,2.1,287.66,285.45
900083,CR3,2025-09-01,2025-09-01,1052,1061,W,maintenance,2.7,351.91,321.65
900084,CR3,2025-09-01,2025-09-01,1050,1062,C,internal_recon,0.3,51.28,59.85
900085,CR3,2025-09-01,2025-09-03,1052,1059,C,repair,1.1,176.56,168.49
900086,CR3,2025-09-01,2025-09-01,1050,1056,C,repair,2.1,364.68,381.07
900087,CR3,2025-09-01,2025-09-01,1050,1058,W,maintenance,1.3,171.28,0.00
900088,CR3,2025-09-01,2025-09-01,1053,1056,C,maintenance,2.4,398.36,424.54
900089,CR3,2025-09-01,2025-09-03,1051,1056,C,maintenance,1.9,302.87,218.45
900090,CR3,2025-09-01,2025-09-01,1052,1054,C,repair,1.1,188.99,115.87
900091,CR3,2025-09-01,2025-09-01,1053,1059,I,internal_recon,1.1,109.50,0.00
900092,CR3,2025-09-01,2025-09-01,1051,1058,C,recall,1.2,199.77,167.30
900093,CR3,2025-09-01,2025-09-01,1053,1059,C,maintenance,1.2,199.82,205.43
900094,CR3,2025-09-01,2025-09-01,1052,1055,C,repair,2.3,379.69,262.59
900095,CR3,2025-09-01,2025-09-06,1051,1054,C,maintenance,2.5,436.46,462.79
900096,CR3,2025-09-01,2025-09-01,1051,1056,C,maintenance,2.4,409.40,344.10
900097,CR3,2025-09-01,2025-09-02,1051,1055,C,repair,0.8,129.03,116.55
900098,CR3,2025-09-01,2025-09-01,1051,1059,C,internal_recon,2.8,478.41,571.89
900099,CR3,2025-09-01,2025-09-01,1053,1061,W,maintenance,1.6,209.68,149.07
900100,CR3,2025-09-01,2025-09-01,1051,1055,W,maintenance,2.2,293.31,209.94
900101,CR3,2025-09-01,2025-09-01,1050,1056,I,repair,0.6,54.80,35.00
900102,CR3,2025-09-01,2025-09-01,1053,1059,C,maintenance,1.1,183.53,230.42
900103,CR3,2025-09-01,2025-09-01,1049,1062,W,maintenance,2.0,266.99,240.55
900104,CR4,2025-09-01,2025-09-02,1077,1081,W,maintenance,2.4,316.89,300.82
900105,CR4,2025-09-01,2025-09-01,1075,1085,C,maintenance,1.8,290.11,186.94
900106,CR4,2025-09-01,2025-09-01,1076,1078,I,internal_recon,2.7,259.20,234.96
900107,CR4,2025-09-01,2025-09-02,1074,1080,C,maintenance,0.4,67.09,50.01
900108,CR4,2025-09-01,2025-09-01,1076,1083,W,maintenance,1.8,239.97,194.94
900109,CR4,2025-09-01,2025-09-01,1074,1081,C,internal_recon,2.4,380.14,295.78
900110,CR4,2025-09-01,2025-09-01,1074,1084,C,maintenance,2.7,466.71,417.90
900111,CR4,2025-09-01,2025-09-01,1077,1081,I,internal_recon,1.5,143.74,130.13
900112,CR4,2025-09-01,2025-09-01,1077,1078,C,maintenance,2.6,417.34,295.31
900113,CR4,2025-09-01,2025-09-01,1074,1081,C,internal_recon,2.6,416.95,347.30
900114,CR4,2025-09-01,2025-09-01,1075,1084,C,repair,1.6,267.50,272.75
900115,CR4,2025-09-01,2025-09-01,1075,1082,W,repair,2.3,298.36,0.00
900116,CR4,2025-09-01,2025-09-01,1075,1084,C,repair,0.3,47.60,51.77
900117,CR4,2025-09-01,2025-09-01,1076,1080,C,repair,1.0,168.48,102.77
900118,CR4,2025-09-01,2025-09-06,1075,1083,W,maintenance,2.2,301.37,192.88
900119,CR4,2025-09-01,2025-09-01,1076,1084,W,repair,1.4,182.82,219.05
900120,CR4,2025-09-01,2025-09-01,1074,1081,C,repair,1.9,319.91,315.45
900121,CR4,2025-09-01,2025-09-02,1074,1083,C,repair,2.7,445.65,541.89
900122,CR4,2025-09-01,2025-09-01,1075,1080,I,maintenance,1.5,143.58,0.00
900123,CR4,2025-09-01,2025-09-01,1077,1084,W,maintenance,2.4,337.43,417.31
900124,CR4,2025-09-01,2025-09-01,1076,1084,C,maintenance,0.5,84.22,107.89
900125,CR4,2025-09-01,2025-09-01,1074,1082,C,repair,1.7,294.13,210.63
900126,CR4,2025-09-01,2025-09-06,1077,1078,C,internal_recon,2.1,345.34,278.95
900127,CR4,2025-09-01,2025-09-02,1074,1080,C,maintenance,1.4,227.40,0.00
900128,CR4,2025-09-01,2025-09-03,1077,1082,W,internal_recon,2.0,270.39,313.69
900129,CR4,2025-09-01,2025-09-01,1074,1083,C,maintenance,0.7,122.24,142.49
900130,CR4,2025-09-01,2025-09-01,1077,1083,I,internal_recon,2.2,219.04,163.41
900131,CR4,2025-09-01,2025-09-02,1074,1083,I,internal_recon,1.4,138.52,89.94
900132,CR4,2025-09-01,2025-09-02,1074,1080,C,maintenance,3.0,493.53,558.57
900133,CR4,2025-09-01,2025-09-01,1074,1083,C,maintenance,2.8,466.12,303.19
900134,CR4,2025-09-01,2025-09-01,1074,1085,W,maintenance,2.9,386.39,333.14
900135,CR4,2025-09-01,2025-09-01,1075,1081,C,maintenance,1.1,182.41,159.77
900136,CR4,2025-09-01,2025-09-01,1074,1083,W,repair,2.1,269.82,314.11
900137,CR4,2025-09-01,2025-09-06,1074,1085,W,repair,2.3,316.32,275.09
900138,CR4,2025-09-01,2025-09-01,1077,1080,C,repair,0.9,154.95,173.10
900139,CR4,2025-09-01,2025-09-01,1074,1085,C,maintenance,2.4,415.71,261.93
900140,CR4,2025-09-01,2025-09-01,1076,1084,W,internal_recon,1.0,141.90,102.64
900141,CR1,2025-09-02,2025-09-02,1010,1014,W,repair,1.1,141.80,0.00
900142,CR1,2025-09-02,2025-09-02,1010,1017,C,maintenance,1.7,276.73,285.43
900143,CR1,2025-09-02,2025-09-02,1010,1014,C,repair,2.3,392.46,239.39
900144,CR1,2025-09-02,2025-09-02,1012,1018,C,maintenance,2.1,352.10,0.00
900145,CR1,2025-09-02,2025-09-02,1011,1016,W,maintenance,0.6,83.63,62.86
900146,CR1,2025-09-02,2025-09-03,1010,1015,W,maintenance,1.5,202.98,197.76
900147,CR1,2025-09-02,2025-09-03,1012,1018,I,internal_recon,1.6,151.46,161.36
900148,CR1,2025-09-02,2025-09-03,1010,1016,I,internal_recon,0.7,68.37,43.02
900149,CR1,2025-09-02,2025-09-04,1011,1018,W,maintenance,0.9,126.38,125.58
900150,CR1,2025-09-02,2025-09-02,1011,1015,C,repair,1.8,309.06,301.69
900151,CR1,2025-09-02,2025-09-02,1011,1018,C,maintenance,1.1,189.88,143.64
900152,CR1,2025-09-02,2025-09-02,1009,1016,I,internal_recon,0.5,44.63,47.44
900153,CR1,2025-09-02,2025-09-02,1010,1019,W,maintenance,0.4,52.55,0.00
900154,CR1,2025-09-02,2025-09-02,1010,1017,C,repair,2.5,400.69,0.00
900155,CR1,2025-09-02,2025-09-02,1012,1016,C,maintenance,1.9,321.41,247.20
900156,CR1,2025-09-02,2025-09-02,1010,1014,W,internal_recon,1.0,138.08,144.45
900157,CR1,2025-09-02,2025-09-02,1010,1019,C,recall,2.5,423.26,0.00
900158,CR1,2025-09-02,2025-09-02,1010,1016,C,repair,1.4,225.13,169.96
900159,CR1,2025-09-02,2025-09-02,1010,1019,C,repair,1.7,280.85,215.32
900160,CR1,2025-09-02,2025-09-02,1010,1018,C,repair,1.4,237.92,205.21
900161,CR1,2025-09-02,2025-09-04,1009,1013,C,repair,2.3,397.19,429.97
900162,CR1,2025-09-02,2025-09-02,1011,1016,C,repair,2.0,350.58,398.50
900163,CR1,2025-09-02,2025-09-02,1012,1016,C,maintenance,2.9,482.75,0.00
900164,CR1,2025-09-02,2025-09-04,1011,1013,C,maintenance,1.7,282.85,230.40
900165,CR1,2025-09-02,2025-09-03,1011,1013,C,repair,3.3,575.61,356.16
900166,CR1,2025-09-02,2025-09-02,1010,1014,W,recall,1.4,189.27,170.03
900167,CR1,2025-09-02,2025-09-04,1012,1016,C,maintenance,1.6,271.19,214.01
900168,CR1,2025-09-02,2025-09-02,1010,1019,C,maintenance,2.0,342.83,228.18
900169,CR1,2025-09-02,2025-09-02,1010,1015,C,maintenance,0.5,87.92,80.05
900170,CR1,2025-09-02,2025-09-02,1009,1018,C,internal_recon,1.0,163.19,152.81
900171,CR1,2025-09-02,2025-09-02,1012,1019,C,internal_recon,1.1,189.00,0.00
900172,CR1,2025-09-02,2025-09-02,1009,1015,I,internal_recon,1.3,127.51,138.28
900173,CR1,2025-09-02,2025-09-04,1012,1015,C,internal_recon,0.9,149.94,166.98
900174,CR1,2025-09-02,2025-09-02,1009,1019,C,repair,2.2,356.43,253.85
900175,CR1,2025-09-02,2025-09-02,1010,1016,I,internal_recon,1.3,124.26,155.53
900176,CR1,2025-09-02,2025-09-02,1009,1013,C,maintenance,2.0,337.94,0.00
900177,CR1,2025-09-02,2025-09-02,1010,1013,C,internal_recon,0.7,120.46,0.00
900178,CR1,2025-09-02,2025-09-02,1012,1014,I,maintenance,2.5,220.97,241.91
900179,CR1,2025-09-02,2025-09-02,1009,1016,W,repair,2.1,279.76,282.72
900180,CR1,2025-09-02,2025-09-03,1012,1015,C,repair,1.9,301.81,203.31
900181,CR1,2025-09-02,2025-09-02,1010,1018,C,repair,1.7,293.92,332.37
900182,CR2,2025-09-02,2025-09-02,1028,1034,W,internal_recon,1.6,217.90,183.41
900183,CR2,2025-09-02,2025-09-02,1030,1035,W,repair,2.0,282.37,291.85
900184,CR2,2025-09-02,2025-09-04,1029,1034,C,internal_recon,0.8,139.96,147.26
900185,CR2,2025-09-02,2025-09-02,1028,1033,C,maintenance,2.1,367.20,284.37
900186,CR2,2025-09-02,2025-09-03,1029,1033,C,internal_recon,1.7,294.75,353.46
900187,CR2,2025-09-02,2025-09-07,1028,1034,C,internal_recon,1.7,270.00,189.56
900188,CR2,2025-09-02,2025-09-02,1029,1033,W,maintenance,2.1,271.80,332.57
900189,CR2,2025-09-02,2025-09-02,1029,1034,C,maintenance,0.5,83.92,99.22
900190,CR2,2025-09-02,2025-09-02,1030,1032,C,maintenance,2.0,350.84,385.43
900191,CR2,2025-09-02,2025-09-02,1028,1034,I,internal_recon,0.3,26.51,20.57
900192,CR2,2025-09-02,2025-09-02,1030,1035,C,repair,0.8,133.04,0.00
900193,CR2,2025-09-02,2025-09-02,1030,1034,I,internal_recon,0.6,58.94,0.00
900194,CR2,2025-09-02,2025-09-02,1028,1035,C,maintenance,2.4,407.57,278.55
900195,CR2,2025-09-02,2025-09-02,1028,1032,W,repair,1.6,216.83,0.00
900196,CR2,2025-09-02,2025-09-02,1029,1032,W,repair,2.1,274.28,223.54
900197,CR2,2025-09-02,2025-09-02,1028,1035,C,maintenance,2.6,423.88,409.02
900198,CR2,2025-09-02,2025-09-02,1028,1033,C,maintenance,0.4,63.22,0.00
900199,CR2,2025-09-02,2025-09-02,1028,1033,W,maintenance,0.5,70.40,71.51
900200,CR2,2025-09-02,2025-09-02,1030,1035,C,recall,1.3,217.79,157.69
900201,CR2,2025-09-02,2025-09-02,1029,1031,C,maintenance,0.5,84.33,74.26
900202,CR2,2025-09-02,2025-09-03,1028,1033,I,repair,2.3,203.59,140.66
900203,CR2,2025-09-02,2025-09-07,1030,1031,C,maintenance,0.4,69.40,83.68
900204,CR2,2025-09-02,2025-09-02,1029,1034,C,maintenance,2.0,318.85,369.82
900205,CR2,2025-09-02,2025-09-02,1030,1034,C,maintenance,1.7,298.03,373.27
900206,CR2,2025-09-02,2025-09-02,1028,1034,C,recall,2.9,462.99,560.42
900207,CR2,2025-09-02,2025-09-04,1029,1035,C,repair,2.8,464.91,315.46
900208,CR3,2025-09-02,2025-09-04,1051,1054,C,repair,2.4,396.15,284.01
900209,CR3,2025-09-02,2025-09-02,1053,1054,C,maintenance,1.5,260.22,216.73
900210,CR3,2025-09-02,2025-09-02,1050,1054,I,internal_recon,2.1,197.79,223.54
900211,CR3,2025-09-02,2025-09-02,1049,1058,I,internal_recon,1.6,157.87,145.63
900212,CR3,2025-09-02,2025-09-02,1050,1056,I,maintenance,1.6,152.64,180.62
900213,CR3,2025-09-02,2025-09-02,1052,1058,C,repair,1.4,227.33,150.70
900214,CR3,2025-09-02,2025-09-02,1052,1060,C,internal_recon,1.7,280.87,362.96
900215,CR3,2025-09-02,2025-09-04,1052,1060,C,maintenance,1.3,220.48,0.00
900216,CR3,2025-09-02,2025-09-02,1053,1057,I,internal_recon,0.8,73.14,75.53
900217,CR3,2025-09-02,2025-09-02,1049,1054,C,maintenance,1.6,266.28,256.18
900218,CR3,2025-09-02,2025-09-03,1053,1054,C,repair,1.9,316.92,215.32
900219,CR3,2025-09-02,2025-09-04,1052,1057,C,maintenance,1.8,295.85,0.00
900220,CR3,2025-09-02,2025-09-02,1051,1055,C,maintenance,2.1,334.57,250.49
900221,CR3,2025-09-02,2025-09-02,1049,1062,C,repair,2.6,436.06,273.17
900222,CR3,2025-09-02,2025-09-04,1053,1061,I,internal_recon,3.4,323.51,399.73
900223,CR3,2025-09-02,2025-09-02,1049,1061,W,repair,1.9,252.18,237.15
900224,CR3,2025-09-02,2025-09-02,1050,1058,C,maintenance,2.0,340.58,204.36
900225,CR3,2025-09-02,2025-09-02,1052,1058,C,internal_recon,1.4,227.98,273.68
900226,CR3,2025-09-02,2025-09-02,1053,1060,C,maintenance,2.3,387.32,394.22
900227,CR3,2025-09-02,2025-09-02,1051,1062,I,internal_recon,1.0,90.67,57.80
900228,CR3,2025-09-02,2025-09-02,1050,1062,C,repair,1.7,282.97,271.35
900229,CR3,2025-09-02,2025-09-02,1050,1056,W,repair,1.7,227.69,228.27
900230,CR3,2025-09-02,2025-09-02,1049,1059,C,internal_recon,1.5,256.19,280.20
900231,CR3,2025-09-02,2025-09-02,1049,1054,I,repair,2.8,250.45,0.00
900232,CR3,2025-09-02,2025-09-02,1049,1062,C,repair,2.3,365.99,0.00
900233,CR3,2025-09-02,2025-09-02,1052,1057,C,maintenance,1.8,286.09,325.10
900234,CR3,2025-09-02,2025-09-03,1049,1062,C,internal_recon,1.7,279.34,0.00
900235,CR3,2025-09-02,2025-09-02,1052,1054,C,maintenance,1.2,201.84,254.91
900236,CR3,2025-09-02,2025-09-02,1049,1061,C,maintenance,2.8,463.86,547.41
900237,CR3,2025-09-02,2025-09-04,1051,1055,C,maintenance,3.4,545.48,609.95
900238,CR3,2025-09-02,2025-09-02,1051,1055,C,recall,1.1,181.17,215.83
900239,CR3,2025-09-02,2025-09-02,1051,1060,C,repair,1.3,222.66,0.00
900240,CR3,2025-09-02,2025-09-02,1049,1057,C,internal_recon,1.3,227.06,215.89
900241,CR3,2025-09-02,2025-09-02,1051,1054,C,maintenance,1.2,201.53,177.55
900242,CR3,2025-09-02,2025-09-02,1052,1056,C,repair,2.8,483.18,562.20
900243,CR3,2025-09-02,2025-09-02,1049,1062,C,repair,1.8,314.50,355.44
900244,CR3,2025-09-02,2025-09-02,1053,1057,C,maintenance,1.7,291.48,285.31
900245,CR3,2025-09-02,2025-09-02,1051,1059,C,recall,2.2,383.21,0.00
900246,CR3,2025-09-02,2025-09-02,1053,1055,C,maintenance,2.2,364.44,288.96
900247,CR3,2025-09-02,2025-09-02,1051,1055,I,internal_recon,2.1,199.03,203.44
900248,CR3,2025-09-02,2025-09-04,1049,1060,I,maintenance,0.9,82.00,99.19
900249,CR3,2025-09-02,2025-09-03,1051,1061,C,repair,1.5,262.48,175.59
900250,CR3,2025-09-02,2025-09-02,1049,1062,W,maintenance,1.0,134.35,85.81
900251,CR3,2025-09-02,2025-09-02,1051,1061,C,maintenance,0.8,138.32,123.66
900252,CR3,2025-09-02,2025-09-02,1053,1060,C,maintenance,2.4,392.39,477.82
900253,CR3,2025-09-02,2025-09-04,1050,1062,W,recall,1.9,264.11,305.01
900254,CR3,2025-09-02,2025-09-02,1049,1061,I,internal_recon,1.5,133.82,109.68
900255,CR3,2025-09-02,2025-09-02,1050,1056,C,maintenance,1.2,204.84,231.67
900256,CR3,2025-09-02,2025-09-02,1050,1055,C,repair,1.9,318.43,413.60
900257,CR3,2025-09-02,2025-09-02,1053,1061,I,internal_recon,2.6,255.34,208.00
900258,CR3,2025-09-02,2025-09-02,1053,1059,C,maintenance,0.6,102.29,124.10
900259,CR3,2025-09-02,2025-09-04,1050,1062,W,maintenance,1.7,235.30,296.76
900260,CR3,2025-09-02,2025-09-02,1050,1054,C,internal_recon,2.2,353.41,405.46
900261,CR3,2025-09-02,2025-09-03,1050,1059,C,repair,1.4,225.55,169.57
900262,CR3,2025-09-02,2025-09-02,1049,1062,C,maintenance,2.4,379.59,0.00
900263,CR4,2025-09-02,2025-09-02,1075,1081,W,repair,2.9,373.74,267.21
900264,CR4,2025-09-02,2025-09-02,1075,1085,C,maintenance,2.8,459.90,0.00
900265,CR4,2025-09-02,2025-09-02,1074,1085,C,repair,0.6,95.60,80.25
900266,CR4,2025-09-02,2025-09-07,1077,1081,C,internal_recon,3.0,505.73,372.49
900267,CR4,2025-09-02,2025-09-02,1074,1081,W,recall,1.4,181.41,184.39
900268,CR4,2025-09-02,2025-09-02,1075,1081,C,maintenance,2.2,355.72,238.53
900269,CR4,2025-09-02,2025-09-02,1075,1084,C,maintenance,2.3,378.89,416.01
900270,CR4,2025-09-02,2025-09-02,1074,1080,C,repair,1.6,272.10,303.20
900271,CR4,2025-09-02,2025-09-02,1075,1080,C,maintenance,1.1,185.49,139.85
900272,CR4,2025-09-02,2025-09-02,1077,1082,C,maintenance,1.2,204.37,201.11
900273,CR4,2025-09-02,2025-09-02,1077,1078,C,maintenance,1.9,326.46,399.13
900274,CR4,2025-09-02,2025-09-03,1075,1078,C,maintenance,1.1,187.44,203.93
900275,CR4,2025-09-02,2025-09-02,1075,1080,C,maintenance,0.3,50.76,65.25
900276,CR4,2025-09-02,2025-09-03,1074,1080,C,repair,2.9,493.10,497.53
900277,CR4,2025-09-02,2025-09-03,1077,1080,C,repair,1.8,294.25,0.00
900278,CR4,2025-09-02,2025-09-02,1077,1080,C,maintenance,1.7,269.76,273.89
900279,CR4,2025-09-02,2025-09-02,1075,1078,I,internal_recon,0.7,66.05,0.00
900280,CR4,2025-09-02,2025-09-02,1077,1084,C,repair,0.9,145.41,133.94
900281,CR4,2025-09-02,2025-09-03,1076,1082,C,maintenance,1.7,294.79,290.27
900282,CR4,2025-09-02,2025-09-03,1076,1083,C,maintenance,1.6,273.35,0.00
900283,CR4,2025-09-02,2025-09-02,1076,1081,I,internal_recon,2.6,255.04,204.46
900284,CR4,2025-09-02,2025-09-04,1077,1081,C,maintenance,1.0,167.46,154.67
900285,CR4,2025-09-02,2025-09-02,1076,1081,I,internal_recon,2.9,265.37,213.30
900286,CR4,2025-09-02,2025-09-02,1074,1083,C,repair,1.7,274.97,195.41
900287,CR4,2025-09-02,2025-09-02,1076,1078,W,maintenance,1.8,234.15,197.14
900288,CR4,2025-09-02,2025-09-03,1075,1085,C,maintenance,1.7,281.98,0.00
900289,CR4,2025-09-02,2025-09-02,1074,1080,C,maintenance,1.5,247.42,0.00
900290,CR4,2025-09-02,2025-09-02,1074,1079,C,maintenance,1.2,201.52,238.63
900291,CR4,2025-09-02,2025-09-02,1077,1080,I,internal_recon,2.2,205.84,195.68
900292,CR4,2025-09-02,2025-09-07,1076,1082,C,repair,2.7,447.30,552.43
900293,CR4,2025-09-02,2025-09-02,1076,1085,C,repair,3.6,611.54,704.13
900294,CR4,2025-09-02,2025-09-02,1077,1080,C,maintenance,0.6,96.62,77.86
900295,CR4,2025-09-02,2025-09-02,1074,1081,C,maintenance,1.6,280.41,217.45
900296,CR4,2025-09-02,2025-09-02,1074,1079,W,maintenance,1.6,225.84,184.55
900297,CR1,2025-09-03,2025-09-03,1010,1018,C,maintenance,2.0,344.30,347.96
900298,CR1,2025-09-03,2025-09-03,1009,1018,C,maintenance,2.1,366.22,445.85
900299,CR1,2025-09-03,2025-09-03,1011,1013,C,repair,1.0,173.91,195.54
900300,CR1,2025-09-03,2025-09-04,1011,1016,W,recall,0.3,41.05,0.00
900301,CR1,2025-09-03,2025-09-03,1011,1017,C,repair,1.4,241.17,312.91
900302,CR1,2025-09-03,2025-09-04,1012,1014,W,maintenance,2.6,335.55,429.60
900303,CR1,2025-09-03,2025-09-04,1012,1018,I,internal_recon,1.2,108.75,102.33
900304,CR1,2025-09-03,2025-09-03,1011,1014,W,maintenance,1.1,145.58,157.68
900305,CR1,2025-09-03,2025-09-03,1009,1018,W,repair,1.5,204.40,205.35
