deal_number,store_code,deal_date,deal_type,sale_type,status,new_used,stock_number,model_year,make,model,front_gross,fi_gross,doc_fee,gap_attached,gap_gross,vsc_attached,vsc_gross,lender_type,term_months,financed,has_trade,days_in_stock_at_sale,salesperson_id,fi_manager_id
500015,CR3,2025-09-01,R,R,F,U,310270,2017,Toyota,SUV,1668.34,1040.91,699.00,0,0.00,0,0.00,captive,72,1,1,68,1048,1063
500016,CR3,2025-09-01,R,R,F,N,310208,2026,Ford,Expedition,2042.33,3612.45,699.00,1,561.17,1,1706.71,outside,84,1,0,63,1041,1064
500017,CR3,2025-09-01,R,R,F,N,310053,2026,Ford,Expedition,2204.66,644.98,899.00,1,523.67,0,0.00,captive,72,1,1,43,1040,1064
500018,CR3,2025-09-01,L,L,F,N,310136,2025,Ford,Super Duty,1202.02,412.79,699.00,0,0.00,0,0.00,cash,,0,1,68,1047,1064
500019,CR3,2025-09-01,R,R,F,N,310012,2026,Ford,F-150,1978.08,1459.18,699.00,0,0.00,0,0.00,captive,60,1,1,68,1043,1064
500020,CR3,2025-09-01,R,R,F,N,310113,2026,Ford,F-150,1453.01,1081.81,699.00,1,645.03,0,0.00,captive,60,1,0,9,1047,1064
500021,CR3,2025-09-01,R,R,F,U,310081,2017,GMC,Sedan,328.93,0.00,699.00,0,0.00,0,0.00,cash,,0,0,67,1041,1064
500022,CR3,2025-09-01,R,W,F,U,310351,2017,Chevrolet,Tahoe,-260.69,0.00,0.00,0,0.00,0,0.00,none,,0,0,68,1041,1063
500023,CR4,2025-09-01,R,R,F,U,410055,2022,Nissan,Truck,4699.73,1181.44,699.00,0,0.00,1,770.11,cash,,0,0,40,1067,1086
500024,CR4,2025-09-01,L,L,F,N,410142,2026,Chevrolet,Silverado 1500,171.81,1080.54,899.00,1,481.20,0,0.00,outside,75,1,0,9,1066,1086
500025,CR4,2025-09-01,R,R,F,N,410225,2026,Chevrolet,Blazer,3352.91,274.37,699.00,0,0.00,0,0.00,captive,48,1,1,36,1070,1087
500026,CR4,2025-09-01,R,R,F,U,410269,2022,Hyundai,Ioniq 5,3015.61,1848.64,699.00,1,646.32,0,0.00,captive,72,1,1,19,1071,1086
500027,CR4,2025-09-01,L,L,F,N,410245,2026,Chevrolet,Blazer,1642.21,970.92,699.00,0,0.00,0,0.00,outside,72,1,0,58,1071,1086
500028,CR4,2025-09-01,R,R,F,U,410180,2025,Ford,F-150,1856.58,3051.69,899.00,1,555.12,1,1811.94,captive,48,1,0,70,1072,1087
500029,CR1,2025-09-02,R,R,F,N,110285,2026,Hyundai,Sonata,2146.04,1920.16,799.00,0,0.00,1,1920.16,cash,,0,0,46,1004,1021
500030,CR1,2025-09-02,R,R,F,N,110077,2026,Hyundai,Tucson,381.08,818.96,699.00,0,0.00,0,0.00,captive,84,1,0,71,1003,1021
500031,CR1,2025-09-02,L,L,F,N,110121,2026,Hyundai,Sonata,1161.45,2051.03,699.00,1,521.70,1,905.69,captive,72,1,0,5,1002,1020
500032,CR1,2025-09-02,R,R,F,U,110275,2019,Toyota,Truck,744.97,90.68,899.00,0,0.00,0,0.00,cash,,0,0,19,1004,1021
500033,CR1,2025-09-02,R,R,F,N,110117,2026,Hyundai,Kona,3327.83,1144.35,899.00,1,506.73,0,0.00,outside,48,1,0,54,1002,1021
500034,CR1,2025-09-02,R,R,F,N,110150,2026,Hyundai,Santa Fe,1098.33,2281.12,799.00,0,0.00,1,1649.00,outside,84,1,0,70,1005,1021
500035,CR2,2025-09-02,R,R,F,U,210141,2020,Toyota,SUV,1595.78,3338.06,699.00,1,629.30,1,1696.92,captive,72,1,1,62,1025,1037
500036,CR2,2025-09-02,R,R,F,U,210084,2020,Toyota,Truck,1701.77,1157.39,799.00,1,576.19,0,0.00,captive,48,1,1,67,1025,1036
500037,CR3,2025-09-02,R,R,F,U,310206,2024,Jeep,Truck,2490.62,2636.84,899.00,1,772.58,1,1273.10,captive,66,1,0,59,1048,1064
500038,CR3,2025-09-02,R,R,F,N,310323,2026,Ford,Mustang,2888.17,1407.61,699.00,1,617.06,0,0.00,captive,60,1,1,64,1038,1063
500039,CR3,2025-09-02,L,L,F,N,310186,2025,Ford,Mustang,3056.71,3064.02,699.00,1,584.51,1,1495.91,captive,60,1,1,47,1041,1064
500040,CR3,2025-09-02,R,R,F,N,310140,2025,Ford,F-150,1467.28,1138.64,699.00,1,528.78,0,0.00,captive,72,1,0,52,1038,1064
500041,CR3,2025-09-02,R,R,F,N,310401,2026,Ford,Maverick,1254.51,1477.16,699.00,1,617.36,0,0.00,captive,66,1,0,0,1046,1063
500042,CR3,2025-09-02,L,L,F,N,310138,2026,Ford,Mustang,1641.37,1677.22,699.00,0,0.00,1,1171.29,captive,72,1,1,28,1038,1064
500043,CR3,2025-09-02,R,R,F,U,310132,2018,Jeep,Sedan,3960.15,1938.89,799.00,0,0.00,1,1938.89,cash,,0,0,68,1046,1064
500044,CR4,2025-09-02,R,R,F,U,410056,2024,Subaru,Truck,3288.79,2108.92,699.00,0,0.00,1,2108.92,cash,,0,1,50,1069,1086
500045,CR4,2025-09-02,R,R,F,U,410037,2022,Ford,Escape,451.61,972.72,899.00,0,0.00,0,0.00,outside,72,1,0,63,1072,1086
500046,CR4,2025-09-02,R,R,F,U,410209,2020,Honda,SUV,1999.76,755.19,899.00,0,0.00,0,0.00,captive,66,1,0,46,1073,1087
500047,CR4,2025-09-02,R,R,F,N,410195,2025,Chevrolet,Equinox,2593.82,1111.87,699.00,1,811.04,0,0.00,captive,60,1,0,71,1068,1087
500048,CR4,2025-09-02,R,R,F,U,410206,2022,Ford,Super Duty,1762.95,2309.22,699.00,1,641.45,1,1231.54,captive,84,1,1,68,1073,1087
500049,CR1,2025-09-03,R,R,F,U,110140,2024,Kia,Carnival,2662.12,2728.75,699.00,1,642.41,1,1459.06,outside,84,1,0,50,1002,1020
500050,CR1,2025-09-03,R,R,F,U,110128,2017,Nissan,Sedan,739.31,1797.06,699.00,0,0.00,1,1099.89,captive,60,1,0,57,1007,1020
500051,CR1,2025-09-03,R,R,F,U,110215,2025,Chevrolet,Colorado,1593.10,3570.47,699.00,1,602.49,1,1819.71,outside,84,1,1,58,1007,1020
500052,CR1,2025-09-03,L,L,F,N,110182,2026,Hyundai,Kona,2397.31,708.63,799.00,1,616.21,0,0.00,captive,48,1,0,70,1002,1021
500053,CR1,2025-09-03,R,R,F,N,110286,2025,Hyundai,Kona,2314.81,1423.41,699.00,0,0.00,1,1255.85,cash,,0,1,39,1001,1020
500054,CR1,2025-09-03,R,R,F,U,110048,2024,Ford,F-150,3030.68,263.81,899.00,0,0.00,0,0.00,cash,,0,0,65,1003,1020
500055,CR1,2025-09-03,R,W,F,N,110238,2026,Hyundai,Santa Fe,341.11,0.00,0.00,0,0.00,0,0.00,none,,0,0,61,1001,1021
500056,CR1,2025-09-03,R,W,F,U,110271,2022,Honda,Truck,-907.98,0.00,0.00,0,0.00,0,0.00,none,,0,0,68,1006,1020
500057,CR2,2025-09-03,R,R,F,U,210132,2025,Ford,F-150,2552.63,2840.92,799.00,1,646.59,1,1795.36,outside,66,1,0,69,1022,1037
500058,CR2,2025-09-03,R,R,F,U,210047,2020,Hyundai,Palisade,670.95,429.96,699.00,0,0.00,0,0.00,outside,72,1,1,43,1024,1037
500059,CR2,2025-09-03,R,R,F,U,210202,2024,GMC,Truck,2492.37,391.17,699.00,0,0.00,0,0.00,captive,72,1,0,64,1027,1037
500060,CR3,2025-09-03,R,R,F,N,310051,2026,Ford,Expedition,2918.35,270.31,699.00,0,0.00,0,0.00,cash,,0,0,29,1038,1063
500061,CR3,2025-09-03,R,R,F,N,310355,2026,Ford,Escape,3132.80,2775.10,699.00,0,0.00,1,1908.29,captive,72,1,0,47,1041,1064
500062,CR3,2025-09-03,R,R,F,N,310212,2026,Ford,F-150,2765.16,1025.50,899.00,0,0.00,0,0.00,captive,84,1,0,63,1039,1063
500063,CR3,2025-09-03,L,L,F,N,310127,2026,Ford,Bronco,1484.90,447.74,899.00,0,0.00,0,0.00,captive,60,1,0,67,1043,1064
500064,CR3,2025-09-03,R,R,F,U,310234,2025,Honda,Sedan,3825.86,1123.44,699.00,0,0.00,0,0.00,captive,60,1,0,70,1041,1064
500065,CR3,2025-09-03,R,R,F,N,310286,2026,Ford,Maverick,2730.06,804.39,899.00,0,0.00,0,0.00,captive,72,1,0,11,1041,1064
500066,CR3,2025-09-03,R,R,F,N,310052,2026,Ford,Mustang,288.59,953.41,799.00,1,575.14,0,0.00,captive,60,1,0,36,1048,1063
500067,CR3,2025-09-03,L,L,F,N,310305,2026,Ford,Super Duty,339.66,1238.35,899.00,0,0.00,1,1238.35,cash,,0,0,20,1043,1063
500068,CR3,2025-09-03,R,R,F,N,310049,2026,Ford,Maverick,-29.93,324.52,799.00,0,0.00,0,0.00,outside,84,1,0,36,1044,1063
500069,CR3,2025-09-03,R,W,F,N,310216,2026,Ford,Super Duty,-767.88,0.00,0.00,0,0.00,0,0.00,none,,0,0,62,1047,1063
500070,CR3,2025-09-03,R,W,F,N,310060,2025,Ford,Maverick,-769.86,0.00,0.00,0,0.00,0,0.00,none,,0,0,67,1044,1063
500071,CR4,2025-09-03,R,R,F,U,410317,2023,Subaru,Truck,1677.91,788.41,699.00,1,690.14,0,0.00,outside,72,1,0,69,1069,1087
500072,CR4,2025-09-03,R,R,F,N,410158,2025,Chevrolet,Equinox,3428.06,2266.00,799.00,0,0.00,1,1756.22,outside,72,1,1,68,1072,1087
500073,CR4,2025-09-03,R,R,F,N,410223,2025,Chevrolet,Malibu,1368.53,1907.31,899.00,0,0.00,1,1354.06,outside,72,1,0,70,1065,1087
500074,CR4,2025-09-03,R,R,F,U,410146,2021,Hyundai,Sonata,2786.08,217.53,899.00,0,0.00,0,0.00,captive,72,1,0,54,1070,1087
500075,CR4,2025-09-03,R,R,F,N,410051,2026,Chevrolet,Trax,805.31,1934.84,899.00,1,573.85,0,0.00,captive,72,1,0,15,1067,1087
500076,CR4,2025-09-03,R,R,F,N,410002,2026,Chevrolet,Equinox,2439.42,1159.81,699.00,1,604.31,0,0.00,captive,75,1,0,69,1072,1087
500077,CR4,2025-09-03,R,W,F,U,410205,2023,Hyundai,Sonata,-352.68,0.00,0.00,0,0.00,0,0.00,none,,0,0,70,1066,1087
500078,CR1,2025-09-04,R,R,F,N,110264,2026,Hyundai,Tucson,-171.37,0.00,899.00,0,0.00,0,0.00,cash,,0,1,55,1007,1021
500079,CR1,2025-09-04,R,R,F,U,110105,2018,Jeep,Sedan,821.83,887.15,799.00,1,620.04,0,0.00,captive,72,1,1,68,1003,1020
500080,CR1,2025-09-04,L,L,F,N,110188,2026,Hyundai,Elantra,-557.13,592.29,699.00,0,0.00,0,0.00,captive,84,1,0,4,1002,1020
500081,CR1,2025-09-04,R,R,F,N,110138,2026,Hyundai,Sonata,1503.33,728.52,699.00,1,634.42,0,0.00,captive,66,1,0,35,1005,1021
500082,CR1,2025-09-04,R,R,F,U,110311,2020,GMC,Truck,3312.67,1985.19,699.00,0,0.00,1,1570.63,cash,,0,0,1,1001,1021
500083,CR1,2025-09-04,R,R,F,U,110148,2022,Ford,Expedition,1906.77,5.87,799.00,0,0.00,0,0.00,cash,,0,0,7,1005,1020
500084,CR1,2025-09-04,R,R,F,U,110094,2020,GMC,SUV,3856.20,2366.87,799.00,0,0.00,1,1419.10,outside,72,1,0,67,1008,1021
500085,CR1,2025-09-04,L,L,F,N,110226,2026,Hyundai,Elantra,1375.52,1070.56,799.00,1,692.65,0,0.00,outside,84,1,1,48,1001,1020
500086,CR1,2025-09-04,R,W,F,U,110041,2017,Jeep,SUV,-1161.73,0.00,0.00,0,0.00,0,0.00,none,,0,0,64,1006,1021
500087,CR1,2025-09-04,R,W,F,U,110009,2019,Kia,Sportage,-646.59,0.00,0.00,0,0.00,0,0.00,none,,0,0,73,1007,1021
500088,CR2,2025-09-04,R,R,F,N,210210,2026,Kia,K5,2128.60,1596.15,699.00,0,0.00,1,1595.93,cash,,0,1,3,1026,1037
500089,CR2,2025-09-04,R,R,F,N,210079,2026,Kia,Sorento,1317.84,0.00,699.00,0,0.00,0,0.00,cash,,0,0,58,1027,1037
500090,CR2,2025-09-04,R,R,F,U,210184,2022,Kia,Sportage,2035.47,197.78,799.00,0,0.00,0,0.00,captive,72,1,0,71,1024,1037
500091,CR2,2025-09-04,R,R,F,N,210178,2026,Kia,Sportage,1459.46,3083.08,699.00,1,650.47,1,1670.39,captive,48,1,0,62,1024,1036
500092,CR2,2025-09-04,R,R,F,N,210052,2026,Kia,K5,-328.49,2073.58,699.00,0,0.00,1,1698.03,outside,75,1,0,64,1025,1036
500093,CR2,2025-09-04,R,W,F,U,210109,2024,Nissan,Truck,-388.73,0.00,0.00,0,0.00,0,0.00,none,,0,0,67,1022,1036
500094,CR3,2025-09-04,R,R,F,N,310159,2026,Ford,Expedition,1636.73,1682.31,699.00,1,646.90,0,0.00,outside,66,1,1,27,1047,1063
500095,CR3,2025-09-04,R,R,F,N,310069,2026,Ford,Mustang,2523.69,1641.92,799.00,1,733.68,0,0.00,captive,60,1,0,43,1042,1064
500096,CR3,2025-09-04,R,R,F,U,310059,2018,Subaru,SUV,586.78,2927.15,699.00,1,777.59,1,1312.92,captive,75,1,0,67,1043,1064
500097,CR3,2025-09-04,R,R,F,U,310011,2025,Nissan,Truck,-141.28,538.70,899.00,0,0.00,0,0.00,captive,72,1,1,37,1042,1064
500098,CR3,2025-09-04,R,R,F,N,310311,2026,Ford,Maverick,465.42,1175.25,799.00,1,665.78,0,0.00,captive,72,1,0,69,1040,1063
500099,CR3,2025-09-04,R,R,F,N,310224,2026,Ford,F-150,3311.07,1599.91,799.00,0,0.00,1,937.71,cash,,0,1,70,1043,1063
500100,CR3,2025-09-04,R,R,F,U,310278,2024,Kia,K5,1163.16,1594.11,699.00,0,0.00,1,1446.42,captive,75,1,1,4,1045,1063
500101,CR3,2025-09-04,R,W,F,U,310332,2018,GMC,Sedan,700.14,0.00,0.00,0,0.00,0,0.00,none,,0,0,61,1039,1063
500102,CR4,2025-09-04,R,R,F,U,410047,2025,Kia,Telluride,3296.73,1344.81,899.00,1,613.74,0,0.00,outside,48,1,0,65,1068,1086
500103,CR4,2025-09-04,R,R,F,N,410003,2026,Chevrolet,Traverse,1755.79,1968.68,799.00,0,0.00,1,1455.68,captive,60,1,1,43,1069,1086
500104,CR4,2025-09-04,L,L,F,N,410303,2026,Chevrolet,Malibu,708.31,2864.95,899.00,1,574.11,1,1184.56,outside,48,1,0,31,1069,1087
500105,CR4,2025-09-04,R,R,F,N,410092,2025,Chevrolet,Equinox,-762.59,1089.23,799.00,1,604.27,0,0.00,outside,84,1,1,72,1071,1086
500106,CR4,2025-09-04,R,R,F,N,410030,2026,Chevrolet,Trax,2284.77,803.87,799.00,1,457.09,0,0.00,captive,66,1,0,63,1073,1087
500107,CR4,2025-09-04,R,R,F,U,410311,2018,GMC,SUV,2017.68,2328.08,799.00,1,558.44,1,1755.69,captive,75,1,1,67,1065,1087
500108,CR4,2025-09-04,R,R,F,N,410120,2026,Chevrolet,Trax,2664.04,1144.38,899.00,1,482.71,0,0.00,captive,66,1,1,73,1071,1086
500109,CR4,2025-09-04,R,R,F,N,410114,2026,Chevrolet,Silverado 1500,505.41,2843.87,699.00,1,489.29,1,1402.71,captive,60,1,1,65,1073,1086
500110,CR4,2025-09-04,R,R,F,U,410323,2019,Subaru,Truck,3799.23,245.46,799.00,0,0.00,0,0.00,cash,,0,0,73,1066,1087
500111,CR4,2025-09-04,R,R,F,N,410062,2026,Chevrolet,Equinox,1137.39,419.38,799.00,0,0.00,0,0.00,captive,72,1,1,71,1070,1087
500112,CR4,2025-09-04,R,W,F,N,410230,2026,Chevrolet,Blazer,331.50,0.00,0.00,0,0.00,0,0.00,none,,0,0,66,1065,1087
500113,CR4,2025-09-04,R,W,F,N,410149,2026,Chevrolet,Blazer,-1342.28,0.00,0.00,0,0.00,0,0.00,none,,0,0,70,1070,1086
500114,CR1,2025-09-05,R,R,F,N,110043,2026,Hyundai,Kona,575.00,817.23,699.00,1,551.76,0,0.00,captive,72,1,0,70,1002,1020
500115,CR1,2025-09-05,L,L,F,N,110290,2025,Hyundai,Palisade,1947.61,116.62,699.00,0,0.00,0,0.00,captive,48,1,0,4,1006,1021
500116,CR1,2025-09-05,L,L,F,N,110052,2026,Hyundai,Tucson,-992.57,1485.80,699.00,1,611.05,0,0.00,captive,84,1,0,67,1001,1020
500117,CR1,2025-09-05,R,R,F,N,110113,2026,Hyundai,Santa Fe,524.10,0.00,799.00,0,0.00,0,0.00,cash,,0,0,74,1007,1020
500118,CR1,2025-09-05,L,L,F,N,110209,2026,Hyundai,Kona,-218.32,1257.99,799.00,1,693.71,0,0.00,outside,72,1,0,27,1006,1021
500119,CR1,2025-09-05,R,R,F,N,110171,2025,Hyundai,Ioniq 5,2462.24,1413.51,799.00,1,638.64,0,0.00,captive,72,1,0,10,1007,1021
500120,CR1,2025-09-05,R,R,F,N,110257,2026,Hyundai,Kona,192.94,2666.05,699.00,1,611.32,1,1324.91,captive,75,1,1,55,1003,1021
500121,CR1,2025-09-05,R,W,F,N,110281,2026,Hyundai,Palisade,-853.05,0.00,0.00,0,0.00,0,0.00,none,,0,0,70,1001,1021
500122,CR2,2025-09-05,R,R,F,U,210012,2024,Hyundai,Tucson,2256.42,823.69,699.00,0,0.00,0,0.00,outside,48,1,0,74,1025,1037
500123,CR2,2025-09-05,R,R,F,N,210026,2025,Kia,Carnival,1737.46,555.50,699.00,1,555.50,0,0.00,outside,75,1,0,39,1022,1036
500124,CR2,2025-09-05,L,L,F,N,210131,2026,Kia,Seltos,3717.31,2160.74,699.00,1,695.17,1,1465.57,captive,66,1,1,49,1026,1037
500125,CR2,2025-09-05,R,R,F,N,210115,2026,Kia,Carnival,2377.01,916.66,699.00,1,916.66,0,0.00,captive,72,1,0,21,1023,1036
500126,CR2,2025-09-05,R,R,F,N,210063,2026,Kia,Telluride,2214.02,1895.17,699.00,0,0.00,1,1431.27,cash,,0,1,62,1026,1037
500127,CR3,2025-09-05,R,R,F,U,310096,2022,Jeep,Sedan,3581.19,2462.16,699.00,1,516.00,1,1085.54,captive,72,1,0,10,1042,1064
500128,CR3,2025-09-05,R,R,F,N,310195,2026,Ford,Maverick,3376.78,1308.54,799.00,1,737.27,0,0.00,captive,84,1,1,71,1040,1064
500129,CR3,2025-09-05,R,R,F,N,310034,2026,Ford,Maverick,1765.16,1018.59,699.00,1,498.47,0,0.00,captive,75,1,0,33,1045,1064
500130,CR3,2025-09-05,R,R,F,U,310242,2023,Nissan,SUV,4121.25,558.41,699.00,0,0.00,0,0.00,outside,72,1,0,33,1043,1064
500131,CR3,2025-09-05,R,R,F,N,310124,2026,Ford,Bronco,538.28,1826.44,699.00,0,0.00,1,1209.59,outside,60,1,0,63,1043,1063
500132,CR3,2025-09-05,L,L,F,N,310134,2025,Ford,Super Duty,857.42,2193.75,699.00,0,0.00,1,1855.97,captive,60,1,1,45,1041,1064
500133,CR3,2025-09-05,R,R,F,N,310245,2026,Ford,Maverick,652.13,581.39,899.00,0,0.00,0,0.00,captive,66,1,0,72,1048,1064
500134,CR3,2025-09-05,R,R,F,U,310258,2021,Jeep,SUV,2747.45,2310.28,699.00,1,578.74,1,1236.40,captive,66,1,0,26,1048,1064
500135,CR3,2025-09-05,R,R,F,U,310158,2019,Jeep,SUV,3757.48,1945.64,899.00,1,609.08,1,836.55,captive,72,1,0,38,1038,1063
500136,CR3,2025-09-05,R,R,F,N,310372,2026,Ford,F-150,2129.58,3172.52,799.00,1,635.56,1,1550.07,outside,48,1,0,70,1041,1063
500137,CR3,2025-09-05,R,R,F,N,310107,2026,Ford,Maverick,989.45,924.75,699.00,1,542.58,0,0.00,outside,75,1,0,39,1043,1064
500138,CR3,2025-09-05,L,L,F,N,310078,2026,Ford,Maverick,459.94,175.78,699.00,0,0.00,0,0.00,cash,,0,1,69,1043,1063
500139,CR3,2025-09-05,R,R,F,U,310223,2022,Honda,Sedan,2045.10,1225.52,699.00,0,0.00,0,0.00,outside,72,1,1,11,1044,1063
500140,CR3,2025-09-05,R,R,F,N,310389,2026,Ford,Explorer,745.98,918.55,899.00,0,0.00,0,0.00,captive,72,1,1,4,1042,1063
500141,CR4,2025-09-05,R,R,F,N,410111,2026,Chevrolet,Trax,1815.32,3882.61,699.00,1,667.11,1,1720.84,captive,66,1,1,64,1065,1086
500142,CR4,2025-09-05,R,R,F,N,410194,2026,Chevrolet,Silverado 1500,1398.84,322.06,699.00,0,0.00,0,0.00,outside,60,1,0,47,1068,1087
500143,CR4,2025-09-05,R,R,F,U,410156,2019,Kia,Carnival,2935.71,822.72,799.00,0,0.00,0,0.00,outside,48,1,0,69,1068,1087
500144,CR4,2025-09-05,R,R,F,U,410105,2023,Hyundai,Sonata,2885.52,1387.71,799.00,1,715.04,0,0.00,outside,66,1,1,19,1067,1087
500145,CR4,2025-09-05,R,R,F,U,410347,2022,Subaru,SUV,3754.66,2093.14,899.00,0,0.00,1,1622.66,outside,72,1,0,3,1071,1086
500146,CR4,2025-09-05,R,R,F,N,410094,2026,Chevrolet,Colorado,3412.96,433.60,799.00,0,0.00,0,0.00,cash,,0,0,62,1066,1087
500147,CR1,2025-09-06,R,R,F,U,110038,2020,GMC,Truck,1619.78,512.19,899.00,0,0.00,0,0.00,captive,72,1,0,69,1005,1021
500148,CR1,2025-09-06,R,R,F,N,110174,2025,Hyundai,Sonata,2144.56,2917.64,799.00,1,514.06,1,1403.96,captive,84,1,1,73,1007,1020
500149,CR1,2025-09-06,L,L,F,N,110306,2026,Hyundai,Kona,1563.42,572.13,699.00,0,0.00,0,0.00,captive,60,1,0,3,1007,1021
500150,CR1,2025-09-06,R,R,F,U,110242,2017,Jeep,Sedan,902.84,1953.58,899.00,0,0.00,1,1358.57,outside,60,1,1,11,1005,1020
500151,CR1,2025-09-06,R,R,F,U,110107,2018,Toyota,SUV,2314.42,1131.16,699.00,0,0.00,0,0.00,captive,48,1,1,54,1007,1020
500152,CR1,2025-09-06,R,R,F,U,110324,2025,Hyundai,Ioniq 5,2104.71,3595.73,899.00,1,546.79,1,2105.78,captive,72,1,1,1,1002,1020
500153,CR1,2025-09-06,R,R,F,N,110146,2025,Hyundai,Elantra,3908.12,2019.62,899.00,0,0.00,1,1377.03,captive,75,1,0,12,1002,1020
500154,CR1,2025-09-06,R,W,F,U,110167,2022,Chevrolet,Silverado 1500,-430.98,0.00,0.00,0,0.00,0,0.00,none,,0,0,75,1001,1020
500155,CR1,2025-09-06,R,W,F,U,110115,2023,Nissan,SUV,924.87,0.00,0.00,0,0.00,0,0.00,none,,0,0,61,1007,1021
500156,CR2,2025-09-06,R,R,F,U,210073,2018,Chevrolet,Tahoe,3181.57,1509.74,899.00,0,0.00,1,1168.93,outside,72,1,1,70,1024,1036
500157,CR2,2025-09-06,R,R,F,N,210207,2026,Kia,Seltos,-16.72,737.44,699.00,0,0.00,0,0.00,captive,75,1,1,5,1025,1036
500158,CR2,2025-09-06,R,R,F,N,210022,2026,Kia,Sorento,746.86,2465.87,699.00,1,543.35,1,1106.50,outside,72,1,0,63,1024,1036
500159,CR2,2025-09-06,R,R,F,U,210089,2017,Ford,Maverick,1199.23,2054.85,699.00,1,599.94,1,892.81,outside,48,1,0,69,1026,1036
500160,CR2,2025-09-06,R,R,F,N,210099,2026,Kia,Forte,1320.78,852.24,699.00,0,0.00,0,0.00,captive,48,1,0,62,1025,1037
500161,CR2,2025-09-06,R,W,F,N,210045,2026,Kia,K5,-772.15,0.00,0.00,0,0.00,0,0.00,none,,0,0,62,1023,1037
500162,CR3,2025-09-06,L,L,F,N,310154,2026,Ford,Explorer,2005.38,769.40,899.00,0,0.00,0,0.00,captive,60,1,1,60,1039,1064
500163,CR3,2025-09-06,R,R,F,U,310402,2023,Kia,Seltos,2038.25,1742.72,899.00,0,0.00,1,1309.55,captive,84,1,0,4,1043,1064
500164,CR3,2025-09-06,R,R,F,U,310088,2021,GMC,SUV,2791.54,1600.38,699.00,1,606.83,0,0.00,outside,48,1,0,74,1048,1064
500165,CR3,2025-09-06,R,R,F,N,310316,2026,Ford,Escape,2713.20,1442.85,799.00,1,504.08,0,0.00,captive,48,1,0,72,1046,1063
500166,CR3,2025-09-06,R,R,F,N,310167,2025,Ford,F-150,2516.95,240.36,899.00,0,0.00,0,0.00,captive,66,1,1,69,1044,1064
500167,CR3,2025-09-06,R,R,F,N,310326,2026,Ford,Maverick,1181.72,883.80,799.00,0,0.00,0,0.00,outside,75,1,1,14,1047,1064
500168,CR3,2025-09-06,L,L,F,N,310281,2025,Ford,Expedition,2577.78,218.07,799.00,0,0.00,0,0.00,captive,72,1,0,72,1038,1064
500169,CR3,2025-09-06,R,R,F,N,310435,2026,Ford,Expedition,921.13,2016.98,699.00,1,633.34,1,1061.83,captive,72,1,0,1,1048,1064
500170,CR3,2025-09-06,R,R,F,U,310008,2020,Subaru,Sedan,1305.37,650.39,899.00,0,0.00,0,0.00,captive,48,1,0,72,1040,1063
500171,CR3,2025-09-06,L,L,F,N,310251,2025,Ford,Explorer,2516.33,1936.69,899.00,0,0.00,1,1220.73,captive,72,1,0,71,1048,1064
