snapshot_date,store_code,stock_number,new_used,model_year,make,model,days_in_stock,cost,list_price,price_drops
2025-09-01,CR1,110023,N,2026,Hyundai,Santa Fe,37,42757.67,48946.03,0
2025-09-01,CR1,110024,U,2025,Hyundai,Ioniq 5,62,19735.51,20619.18,1
2025-09-01,CR1,110026,U,2021,Honda,SUV,1,31746.00,34337.08,0
2025-09-01,CR1,110027,U,2018,Chevrolet,Trax,20,27877.27,31986.32,0
2025-09-01,CR1,110028,N,2026,Hyundai,Palisade,10,32243.25,36265.74,0
2025-09-01,CR1,110029,N,2026,Hyundai,Santa Fe,45,28045.37,28050.11,3
2025-09-01,CR1,110030,U,2018,Hyundai,Elantra,59,19453.15,20827.61,2
2025-09-01,CR1,110031,U,2020,Ford,Maverick,12,24135.41,26130.75,1
2025-09-01,CR1,110032,U,2022,Jeep,SUV,42,26565.12,26936.60,2
2025-09-01,CR1,110033,N,2026,Hyundai,Kona,60,33360.17,38136.08,0
2025-09-01,CR1,110034,N,2026,Hyundai,Santa Fe,49,26511.34,29245.44,0
2025-09-01,CR1,110035,U,2024,Hyundai,Tucson,43,20356.17,22123.45,0
2025-09-01,CR1,110036,U,2021,GMC,Sedan,43,28503.40,29215.03,2
2025-09-01,CR1,110037,U,2025,Kia,Forte,59,19120.66,20284.59,1
2025-09-01,CR1,110038,U,2020,GMC,Truck,64,12213.89,13465.13,0
2025-09-01,CR1,110039,N,2026,Hyundai,Santa Fe,43,41936.81,44145.24,1
2025-09-01,CR1,110040,N,2025,Hyundai,Palisade,43,33591.32,37252.55,1
2025-09-01,CR1,110041,U,2017,Jeep,SUV,61,25111.36,26921.49,0
2025-09-01,CR1,110042,N,2026,Hyundai,Ioniq 5,35,34151.42,36601.96,2
2025-09-01,CR1,110043,N,2026,Hyundai,Kona,66,42452.46,47287.63,0
2025-09-01,CR1,110044,U,2020,Nissan,SUV,2,25387.31,29304.80,0
2025-09-01,CR1,110045,U,2021,Nissan,Truck,27,26379.50,28458.59,1
2025-09-01,CR1,110046,N,2025,Hyundai,Tucson,18,36673.56,37865.98,1
2025-09-01,CR1,110048,U,2024,Ford,F-150,63,25366.71,26409.88,1
2025-09-01,CR1,110049,U,2020,Ford,Super Duty,62,16159.51,17762.82,1
2025-09-01,CR1,110050,N,2025,Hyundai,Elantra,39,39202.97,42282.26,2
2025-09-01,CR1,110051,U,2018,Ford,Super Duty,66,30801.30,33450.07,1
2025-09-01,CR1,110052,N,2026,Hyundai,Tucson,63,17879.28,18697.66,1
2025-09-01,CR1,110053,U,2023,GMC,Truck,23,11673.29,13111.64,1
2025-09-01,CR1,110054,N,2025,Hyundai,Sonata,4,21333.47,23697.29,0
2025-09-01,CR1,110055,N,2026,Hyundai,Sonata,68,34792.53,36235.06,1
2025-09-01,CR1,110056,N,2025,Hyundai,Kona,42,22032.71,23078.73,2
2025-09-01,CR1,110058,U,2021,Toyota,SUV,8,17845.44,19977.51,1
2025-09-01,CR1,110059,N,2026,Hyundai,Palisade,23,35947.95,39378.07,1
2025-09-01,CR1,110060,U,2024,Kia,Seltos,24,23623.57,26380.46,1
2025-09-01,CR1,110061,N,2026,Hyundai,Palisade,4,35344.98,39870.53,0
2025-09-01,CR1,110062,N,2026,Hyundai,Tucson,53,31010.54,34035.22,1
2025-09-01,CR1,110063,N,2026,Hyundai,Elantra,6,24864.88,26433.18,2
2025-09-01,CR1,110064,N,2026,Hyundai,Elantra,33,43760.71,47131.01,1
2025-09-01,CR1,110065,N,2026,Hyundai,Santa Fe,12,35135.90,38033.39,0
2025-09-01,CR1,110066,N,2025,Hyundai,Sonata,64,29288.23,33157.53,0
2025-09-01,CR1,110067,U,2024,Chevrolet,Traverse,59,28048.75,30150.59,1
2025-09-01,CR1,110068,U,2022,Honda,Sedan,28,17956.16,20317.05,0
2025-09-01,CR1,110069,N,2025,Hyundai,Sonata,21,39335.79,45562.79,0
2025-09-01,CR1,110070,N,2026,Hyundai,Sonata,4,48798.78,53127.80,0
2025-09-01,CR1,110071,N,2025,Hyundai,Santa Fe,47,43156.64,47852.82,0
2025-09-01,CR1,110072,N,2026,Hyundai,Sonata,18,24240.82,27204.46,1
2025-09-01,CR1,110073,N,2026,Hyundai,Kona,59,42451.95,46384.07,0
2025-09-01,CR1,110074,U,2024,Honda,SUV,33,17232.88,18863.01,0
2025-09-01,CR1,110075,U,2021,Honda,SUV,68,28796.19,30726.26,0
2025-09-01,CR1,110076,N,2025,Hyundai,Santa Fe,58,35167.35,39434.36,0
2025-09-01,CR1,110077,N,2026,Hyundai,Tucson,70,39884.01,42947.80,0
2025-09-01,CR1,110078,N,2026,Hyundai,Elantra,33,34160.64,38781.14,0
2025-09-01,CR1,110079,N,2026,Hyundai,Ioniq 5,67,31774.52,35176.87,0
2025-09-01,CR1,110080,U,2020,Jeep,Truck,42,15969.67,17566.70,0
2025-09-01,CR1,110081,U,2017,Hyundai,Santa Fe,66,12944.72,14289.06,0
2025-09-01,CR1,110082,U,2024,Subaru,SUV,15,21559.96,23996.05,0
2025-09-01,CR1,110083,U,2017,Kia,Seltos,64,10666.77,11621.10,0
2025-09-01,CR1,110084,N,2025,Hyundai,Ioniq 5,67,30736.61,35235.32,0
2025-09-01,CR1,110085,N,2026,Hyundai,Ioniq 5,4,36419.90,38748.71,1
2025-09-01,CR1,110086,U,2024,GMC,Sedan,28,20111.90,21469.93,1
2025-09-01,CR1,110087,U,2017,Kia,Sorento,15,21069.40,23917.48,0
2025-09-01,CR1,110088,N,2026,Hyundai,Tucson,22,35266.07,38282.55,0
2025-09-01,CR1,110089,N,2026,Hyundai,Ioniq 5,5,40133.74,42684.53,0
2025-09-01,CR1,110090,U,2017,GMC,Truck,60,16521.64,17965.55,2
2025-09-01,CR1,110091,U,2021,Jeep,Sedan,25,28327.20,29892.98,1
2025-09-01,CR1,110092,N,2026,Hyundai,Kona,1,38507.44,41354.07,1
2025-09-01,CR1,110093,N,2026,Hyundai,Kona,34,24931.11,27773.80,0
2025-09-01,CR1,110094,U,2020,GMC,SUV,64,18874.50,21020.08,0
2025-09-01,CR1,110095,N,2026,Hyundai,Elantra,60,25366.26,27167.01,1
2025-09-01,CR1,110096,N,2026,Hyundai,Sonata,23,37611.85,40514.37,1
2025-09-01,CR1,110097,N,2026,Hyundai,Kona,44,31658.40,32779.37,1
2025-09-01,CR1,110098,U,2020,Subaru,Truck,17,21233.55,23526.95,1
2025-09-01,CR1,110099,U,2022,Nissan,Truck,61,24412.87,24666.84,2
2025-09-01,CR1,110100,N,2025,Hyundai,Kona,49,40900.97,43214.41,2
2025-09-01,CR1,110101,N,2026,Hyundai,Tucson,44,32563.76,34470.03,2
2025-09-01,CR1,110102,N,2026,Hyundai,Sonata,31,23646.50,24159.78,3
2025-09-01,CR1,110103,N,2026,Hyundai,Palisade,23,39315.04,44568.49,0
2025-09-01,CR1,110104,U,2019,Chevrolet,Colorado,59,20053.14,21799.94,1
2025-09-01,CR1,110105,U,2018,Jeep,Sedan,65,26765.58,29204.15,0
2025-09-01,CR1,110106,U,2021,Toyota,SUV,53,26925.29,30161.57,1
2025-09-01,CR1,110107,U,2018,Toyota,SUV,49,30322.70,33487.91,0
2025-09-01,CR1,110108,U,2024,Ford,Super Duty,9,27441.87,31085.92,0
2025-09-01,CR1,110109,N,2025,Hyundai,Kona,39,19373.10,19582.99,4
2025-09-01,CR1,110110,U,2020,Toyota,Sedan,14,23266.17,26154.10,1
2025-09-01,CR1,110111,U,2022,Kia,K5,38,22399.94,23152.44,2
2025-09-01,CR1,110112,U,2025,Kia,K5,43,23397.24,24002.11,2
2025-09-01,CR1,110113,N,2026,Hyundai,Santa Fe,70,23893.17,25129.14,1
2025-09-01,CR1,110114,N,2026,Hyundai,Kona,66,45934.48,47110.82,2
2025-09-01,CR1,110115,U,2023,Nissan,SUV,56,15061.18,16379.76,1
2025-09-01,CR1,110116,U,2025,GMC,SUV,5,14146.05,14953.80,1
2025-09-01,CR1,110117,N,2026,Hyundai,Kona,53,37162.97,40425.29,1
2025-09-01,CR1,110118,U,2023,Hyundai,Ioniq 5,45,10262.19,10742.69,2
2025-09-01,CR1,110119,N,2025,Hyundai,Santa Fe,2,22000.99,24444.23,1
2025-09-01,CR1,110120,N,2026,Hyundai,Santa Fe,32,22299.09,25562.77,0
2025-09-01,CR1,110121,N,2026,Hyundai,Sonata,4,26010.91,30166.16,0
2025-09-01,CR1,110122,N,2026,Hyundai,Sonata,21,33416.38,35525.20,0
2025-09-01,CR1,110123,U,2023,Honda,Sedan,11,26822.49,29233.41,1
2025-09-01,CR1,110124,N,2026,Hyundai,Tucson,13,39634.63,45569.84,0
2025-09-01,CR1,110125,U,2019,Hyundai,Kona,13,14984.03,16342.08,1
2025-09-01,CR1,110126,U,2022,GMC,SUV,25,22507.26,25195.63,0
2025-09-01,CR1,110127,N,2026,Hyundai,Sonata,16,16912.32,18891.67,1
2025-09-01,CR1,110128,U,2017,Nissan,Sedan,55,26125.57,29484.67,0
2025-09-01,CR1,110129,U,2024,Honda,SUV,55,27316.97,30997.06,0
2025-09-01,CR1,110130,N,2026,Hyundai,Santa Fe,7,35990.04,36760.82,2
2025-09-01,CR1,110131,N,2026,Hyundai,Santa Fe,70,30495.68,33889.42,1
2025-09-01,CR1,110132,N,2025,Hyundai,Ioniq 5,40,36443.43,41494.10,0
2025-09-01,CR1,110133,N,2026,Hyundai,Ioniq 5,29,24606.71,26679.90,1
2025-09-01,CR1,110134,N,2026,Hyundai,Ioniq 5,34,38290.26,41483.42,0
2025-09-01,CR1,110135,N,2026,Hyundai,Santa Fe,68,42381.94,47159.83,0
2025-09-01,CR1,110136,N,2026,Hyundai,Ioniq 5,38,35038.59,36733.39,1
2025-09-01,CR1,110137,N,2026,Hyundai,Ioniq 5,57,38780.16,43154.81,1
2025-09-01,CR1,110138,N,2026,Hyundai,Sonata,32,31228.66,35279.56,0
2025-09-01,CR1,110139,U,2023,Kia,Seltos,16,14742.05,14715.85,4
2025-09-01,CR1,110140,U,2024,Kia,Carnival,48,15670.89,17526.87,0
2025-09-01,CR1,110141,N,2026,Hyundai,Ioniq 5,49,28083.80,29559.76,1
2025-09-01,CR1,110142,N,2025,Hyundai,Santa Fe,62,37260.92,39660.60,0
2025-09-01,CR1,110143,U,2018,Ford,F-150,3,21785.52,23211.20,1
2025-09-01,CR1,110144,N,2026,Hyundai,Sonata,33,25614.20,26530.08,1
2025-09-01,CR1,110145,N,2025,Hyundai,Tucson,23,40685.48,45226.65,0
2025-09-01,CR1,110146,N,2025,Hyundai,Elantra,7,38817.91,42037.40,0
2025-09-01,CR1,110147,U,2023,Honda,Truck,9,27297.12,31211.43,0
2025-09-01,CR1,110148,U,2022,Ford,Expedition,4,22482.28,25082.91,0
2025-09-01,CR1,110149,N,2025,Hyundai,Elantra,57,30914.31,33539.68,2
2025-09-01,CR1,110150,N,2026,Hyundai,Santa Fe,69,38114.13,39442.24,1
2025-09-01,CR1,110151,U,2019,Jeep,Truck,53,22060.08,24353.21,1
2025-09-01,CR1,110152,N,2025,Hyundai,Tucson,17,27371.47,28648.19,2
2025-09-01,CR1,110153,N,2026,Hyundai,Sonata,20,36202.88,40063.24,0
2025-09-01,CR1,110154,N,2026,Hyundai,Elantra,10,33632.67,34705.19,2
2025-09-01,CR1,110155,N,2026,Hyundai,Sonata,12,31341.31,33863.93,1
2025-09-01,CR1,110156,U,2020,Honda,Truck,15,23234.63,24187.49,2
2025-09-01,CR1,110157,U,2019,Nissan,Sedan,45,22570.95,24195.36,0
2025-09-01,CR1,110158,U,2020,Jeep,SUV,33,25294.33,27286.68,0
2025-09-01,CR1,110159,U,2019,Jeep,Sedan,23,17471.41,18467.35,3
2025-09-01,CR1,110160,N,2026,Hyundai,Palisade,69,28974.85,33168.97,0
2025-09-01,CR1,110161,U,2017,Jeep,Truck,29,23987.46,25720.93,1
2025-09-01,CR1,110162,N,2026,Hyundai,Elantra,14,31001.91,34785.99,1
2025-09-01,CR1,110163,N,2026,Hyundai,Tucson,54,27384.48,30950.12,0
2025-09-01,CR1,110164,U,2018,Ford,Expedition,7,36255.57,41607.35,0
2025-09-01,CR1,110165,U,2022,Toyota,Sedan,26,23496.85,24885.15,1
2025-09-01,CR1,110166,N,2025,Hyundai,Palisade,33,42376.78,46379.36,1
2025-09-01,CR1,110167,U,2022,Chevrolet,Silverado 1500,70,25291.84,27212.85,1
2025-09-01,CR1,110168,U,2022,Toyota,Truck,63,14417.82,16542.74,0
2025-09-01,CR1,110169,N,2026,Hyundai,Tucson,26,35560.97,38020.25,2
2025-09-01,CR1,110170,N,2026,Hyundai,Kona,3,24695.32,27764.75,0
2025-09-01,CR1,110171,N,2025,Hyundai,Ioniq 5,6,23903.99,26881.11,0
2025-09-01,CR1,110172,U,2020,Ford,Escape,46,26411.21,28238.84,1
2025-09-01,CR1,110173,N,2025,Hyundai,Sonata,27,33901.80,33934.58,2
2025-09-01,CR1,110174,N,2025,Hyundai,Sonata,68,32738.55,36526.81,1
2025-09-01,CR1,110175,U,2019,Subaru,SUV,17,18739.11,20035.74,1
2025-09-01,CR1,110176,N,2026,Hyundai,Sonata,56,39947.48,41332.24,2
2025-09-01,CR1,110177,U,2024,Subaru,Truck,48,20611.92,22621.10,1
2025-09-01,CR1,110178,N,2026,Hyundai,Ioniq 5,43,39099.64,41717.40,2
2025-09-01,CR1,110179,N,2026,Hyundai,Sonata,24,32117.66,33985.34,1
2025-09-01,CR1,110180,N,2026,Hyundai,Santa Fe,53,28074.18,31440.68,1
2025-09-01,CR1,110181,U,2024,Toyota,SUV,38,15371.42,17463.20,0
2025-09-01,CR1,110182,N,2026,Hyundai,Kona,68,43924.49,46948.06,1
2025-09-01,CR1,110183,U,2017,Ford,Escape,16,17868.93,20016.69,1
2025-09-01,CR1,110184,U,2017,Ford,Maverick,41,20572.91,23205.29,0
2025-09-01,CR1,110185,N,2025,Hyundai,Tucson,22,29423.96,31424.22,2
2025-09-01,CR1,110186,U,2021,Nissan,SUV,10,37969.14,41757.11,0
2025-09-01,CR1,110187,N,2026,Hyundai,Elantra,23,25631.53,27188.94,0
2025-09-01,CR1,110188,N,2026,Hyundai,Elantra,1,38084.26,42754.51,0
2025-09-01,CR1,110189,N,2026,Hyundai,Santa Fe,17,34139.45,36557.30,0
2025-09-01,CR1,110190,N,2026,Hyundai,Ioniq 5,7,23678.86,25478.38,1
2025-09-01,CR1,110191,N,2026,Hyundai,Santa Fe,29,34890.73,38033.35,2
2025-09-01,CR1,110192,N,2026,Hyundai,Palisade,62,38748.30,44546.61,0
2025-09-01,CR1,110193,U,2023,Honda,SUV,52,21184.25,21791.95,1
2025-09-01,CR1,110194,N,2026,Hyundai,Sonata,4,35917.50,34910.99,3
2025-09-01,CR1,110195,N,2026,Hyundai,Sonata,40,38725.38,40044.12,2
2025-09-01,CR1,110196,U,2018,Kia,Sorento,57,19398.27,20579.80,1
2025-09-01,CR1,110197,N,2026,Hyundai,Palisade,45,35479.38,39915.50,1
2025-09-01,CR1,110198,N,2026,Hyundai,Palisade,54,31514.47,35870.87,0
2025-09-01,CR1,110199,N,2026,Hyundai,Ioniq 5,58,35178.97,35659.43,2
2025-09-01,CR1,110200,N,2026,Hyundai,Ioniq 5,22,23730.56,25308.30,2
2025-09-01,CR1,110201,N,2026,Hyundai,Elantra,25,43608.00,45263.93,1
2025-09-01,CR1,110202,N,2026,Hyundai,Palisade,54,32327.19,32653.32,2
2025-09-01,CR1,110203,U,2023,Jeep,Sedan,14,15614.19,16956.67,0
2025-09-01,CR1,110204,N,2026,Hyundai,Santa Fe,41,34165.84,39003.01,0
2025-09-01,CR1,110205,N,2026,Hyundai,Santa Fe,13,45789.28,49664.52,1
2025-09-01,CR1,110206,N,2026,Hyundai,Kona,26,31987.58,33318.24,1
2025-09-01,CR1,110207,N,2026,Hyundai,Kona,16,29449.81,33098.26,1
2025-09-01,CR1,110208,N,2026,Hyundai,Sonata,53,36503.23,39559.94,1
2025-09-01,CR1,110209,N,2026,Hyundai,Kona,23,31287.26,35139.78,0
2025-09-01,CR1,110210,U,2019,Nissan,SUV,4,16042.75,17842.04,0
2025-09-01,CR1,110211,U,2022,Toyota,Truck,60,23033.71,25915.31,1
2025-09-01,CR1,110212,N,2025,Hyundai,Palisade,16,33676.05,34661.59,1
2025-09-01,CR1,110213,N,2026,Hyundai,Santa Fe,16,35186.90,36448.59,3
2025-09-01,CR1,110214,N,2025,Hyundai,Sonata,19,28389.63,31772.27,0
2025-09-01,CR1,110215,U,2025,Chevrolet,Colorado,56,31097.92,34736.01,1
2025-09-01,CR1,110216,U,2018,GMC,Sedan,51,17076.16,18136.87,2
2025-09-01,CR1,110217,U,2020,Nissan,Sedan,52,15564.85,15144.44,3
2025-09-01,CR1,110218,N,2026,Hyundai,Sonata,6,31847.75,35490.16,0
2025-09-01,CR1,110219,U,2021,Hyundai,Sonata,51,22243.28,25305.07,0
2025-09-01,CR1,110220,U,2020,Toyota,Sedan,41,27858.32,30992.33,1
2025-09-01,CR1,110221,N,2026,Hyundai,Kona,47,19799.44,22411.53,0
2025-09-01,CR1,110222,U,2018,Jeep,Sedan,10,25823.69,27809.66,0
2025-09-01,CR1,110223,N,2026,Hyundai,Kona,35,38714.10,41184.63,1
2025-09-01,CR1,110224,U,2022,Toyota,Sedan,53,23407.31,24643.44,1
2025-09-01,CR1,110225,N,2026,Hyundai,Elantra,14,47171.54,50684.31,0
2025-09-01,CR1,110226,N,2026,Hyundai,Elantra,45,25000.50,28606.16,0
2025-09-01,CR1,110227,N,2026,Hyundai,Kona,1,40446.15,43427.83,0
2025-09-01,CR1,110228,U,2021,GMC,Sedan,33,24728.27,24932.72,2
2025-09-01,CR1,110229,U,2025,Nissan,Sedan,3,14009.59,16007.55,0
2025-09-01,CR1,110230,U,2019,Honda,Truck,48,25899.98,26281.73,2
2025-09-01,CR1,110231,U,2023,GMC,Truck,28,23987.07,26848.15,1
2025-09-01,CR1,110233,N,2026,Hyundai,Sonata,2,37680.20,41165.71,0
2025-09-01,CR1,110234,N,2025,Hyundai,Ioniq 5,20,25932.80,27746.91,1
2025-09-01,CR1,110235,U,2024,Nissan,Truck,10,17391.64,19208.35,0
2025-09-01,CR1,110236,N,2025,Hyundai,Ioniq 5,52,43550.12,45150.83,1
2025-09-01,CR1,110237,N,2026,Hyundai,Elantra,30,29913.81,30943.84,2
2025-09-01,CR1,110238,N,2026,Hyundai,Santa Fe,59,37827.33,41374.65,0
2025-09-01,CR1,110239,U,2025,Chevrolet,Tahoe,34,10682.04,11330.28,2
2025-09-01,CR1,110240,N,2025,Hyundai,Ioniq 5,22,35642.39,37106.25,2
2025-09-01,CR1,110241,U,2021,Subaru,SUV,2,20824.11,23318.52,0
2025-09-01,CR1,110242,U,2017,Jeep,Sedan,6,27057.30,29528.65,0
2025-09-01,CR1,110243,N,2026,Hyundai,Ioniq 5,70,36210.04,39612.27,1
2025-09-01,CR1,110244,N,2025,Hyundai,Santa Fe,1,26837.71,28515.89,1
2025-09-01,CR1,110245,U,2024,GMC,Sedan,53,17559.91,19181.69,1
2025-09-01,CR1,110246,N,2026,Hyundai,Sonata,32,31345.33,31362.34,2
2025-09-01,CR1,110247,U,2022,Kia,Telluride,69,21142.95,23211.71,1
2025-09-01,CR1,110248,N,2026,Hyundai,Elantra,64,48427.23,53449.40,1
2025-09-01,CR1,110249,U,2017,Jeep,SUV,67,30921.83,35288.74,0
2025-09-01,CR1,110250,U,2018,Jeep,Sedan,22,22857.15,25665.06,0
2025-09-01,CR1,110252,N,2026,Hyundai,Santa Fe,19,37483.85,40769.40,0
2025-09-01,CR1,110253,N,2025,Hyundai,Ioniq 5,35,33917.13,39122.19,0
2025-09-01,CR1,110254,N,2026,Hyundai,Sonata,50,27483.65,28559.98,1
2025-09-01,CR1,110255,U,2019,Jeep,Truck,61,23267.91,24021.53,2
2025-09-01,CR1,110256,U,2024,Ford,Maverick,28,22335.12,25109.89,0
2025-09-01,CR1,110257,N,2026,Hyundai,Kona,51,34634.13,39901.04,0
2025-09-01,CR1,110258,U,2018,Chevrolet,Trax,5,19347.23,20754.24,0
2025-09-01,CR1,110259,U,2019,GMC,SUV,56,24582.44,27267.36,1
2025-09-01,CR1,110260,N,2026,Hyundai,Ioniq 5,29,32395.88,32834.10,2
2025-09-01,CR1,110262,N,2026,Hyundai,Sonata,48,20254.21,21136.18,2
2025-09-01,CR1,110263,N,2025,Hyundai,Tucson,22,28883.80,30898.50,0
2025-09-01,CR1,110264,N,2026,Hyundai,Tucson,52,31093.51,33266.92,1
2025-09-01,CR1,110265,U,2017,Ford,Mustang,5,23297.60,24616.33,1
2025-09-01,CR1,110266,N,2025,Hyundai,Ioniq 5,37,32948.80,36942.64,1
2025-09-01,CR1,110267,N,2026,Hyundai,Kona,69,42738.35,48346.80,0
2025-09-01,CR1,110268,N,2026,Hyundai,Tucson,42,34728.71,37812.64,2
2025-09-01,CR1,110269,N,2026,Hyundai,Sonata,15,35074.25,36207.96,1
2025-09-01,CR1,110270,N,2026,Hyundai,Ioniq 5,4,26563.75,28733.37,2
2025-09-01,CR1,110271,U,2022,Honda,Truck,66,25950.21,29021.63,1
2025-09-01,CR1,110272,N,2026,Hyundai,Elantra,54,22309.18,23786.65,0
2025-09-01,CR1,110273,U,2021,Ford,Maverick,44,16848.92,18378.13,2
2025-09-01,CR1,110274,N,2026,Hyundai,Kona,63,37614.36,40930.83,1
2025-09-01,CR1,110275,U,2019,Toyota,Truck,18,16364.83,18567.46,0
2025-09-01,CR1,110276,U,2025,Honda,Truck,22,27288.18,30628.22,0
2025-09-01,CR1,110277,N,2026,Hyundai,Palisade,8,33006.77,33847.48,2
2025-09-01,CR1,110278,N,2026,Hyundai,Sonata,29,35777.45,40223.22,0
2025-09-01,CR1,110279,N,2026,Hyundai,Ioniq 5,57,27592.67,31858.53,0
2025-09-01,CR1,110280,N,2026,Hyundai,Tucson,19,36081.01,41496.28,0
2025-09-01,CR1,110281,N,2026,Hyundai,Palisade,66,41219.30,45311.20,1
2025-09-01,CR1,110282,N,2026,Hyundai,Ioniq 5,48,32190.03,35952.86,1
2025-09-01,CR1,110283,U,2021,Nissan,Truck,18,16419.86,15998.81,3
2025-09-01,CR1,110284,U,2020,Kia,Seltos,67,30253.84,31875.00,1
2025-09-01,CR1,110285,N,2026,Hyundai,Sonata,45,26370.82,29034.77,0
2025-09-01,CR1,110286,N,2025,Hyundai,Kona,37,33215.87,37351.75,0
2025-09-01,CR1,110288,N,2025,Hyundai,Elantra,35,37345.12,40608.39,0
2025-09-01,CR2,210001,N,2025,Kia,K5,58,31447.75,33369.46,0
2025-09-01,CR2,210002,N,2026,Kia,Sorento,35,30775.92,31352.82,4
2025-09-01,CR2,210003,U,2023,Ford,F-150,30,17082.90,19719.98,0
2025-09-01,CR2,210004,U,2021,Chevrolet,Malibu,14,17565.79,19305.21,1
2025-09-01,CR2,210005,N,2025,Kia,Seltos,15,38792.24,40289.24,2
2025-09-01,CR2,210006,U,2021,Nissan,Truck,15,18478.67,20875.94,0
2025-09-01,CR2,210007,N,2026,Kia,K5,52,47894.92,50829.55,0
2025-09-01,CR2,210008,U,2019,GMC,SUV,65,20476.56,23075.22,0
2025-09-01,CR2,210009,U,2022,Toyota,Sedan,43,26196.92,29379.88,0
2025-09-01,CR2,210010,N,2025,Kia,Carnival,57,28030.68,29851.05,1
2025-09-01,CR2,210011,N,2025,Kia,Sportage,66,33515.92,36391.87,1
2025-09-01,CR2,210012,U,2024,Hyundai,Tucson,70,17997.76,19687.52,0
2025-09-01,CR2,210013,N,2026,Kia,Sportage,55,38670.02,41745.65,1
2025-09-01,CR2,210014,N,2025,Kia,Telluride,53,31725.06,35221.89,0
2025-09-01,CR2,210015,N,2026,Kia,K5,25,35453.36,39195.01,0
2025-09-01,CR2,210016,N,2026,Kia,Telluride,63,18817.15,20090.99,1
2025-09-01,CR2,210017,N,2026,Kia,K5,36,42023.75,43664.05,2
2025-09-01,CR2,210018,U,2024,Chevrolet,Malibu,18,21636.84,22962.17,1
2025-09-01,CR2,210019,N,2025,Kia,Sorento,41,14218.16,16206.77,0
2025-09-01,CR2,210020,N,2026,Kia,Telluride,39,36959.20,39285.19,0
2025-09-01,CR2,210021,U,2020,Subaru,Sedan,50,19563.46,20477.62,1
2025-09-01,CR2,210022,N,2026,Kia,Sorento,58,7177.18,7598.42,1
2025-09-01,CR2,210023,U,2022,Ford,Bronco,16,22917.58,25610.52,0
2025-09-01,CR2,210025,N,2025,Kia,Sportage,40,34676.86,35124.50,2
2025-09-01,CR2,210026,N,2025,Kia,Carnival,35,37694.88,41761.00,0
2025-09-01,CR2,210027,N,2026,Kia,Sorento,29,32838.66,33808.21,1
2025-09-01,CR2,210028,U,2021,Subaru,SUV,29,32996.49,35547.02,0
2025-09-01,CR2,210029,N,2026,Kia,Carnival,21,41445.98,45950.12,1
2025-09-01,CR2,210030,N,2026,Kia,Forte,26,17638.64,20317.95,0
2025-09-01,CR2,210031,U,2024,Subaru,SUV,13,18966.76,20658.94,0
2025-09-01,CR2,210032,U,2019,Kia,Sorento,42,30834.08,35305.95,0
2025-09-01,CR2,210033,N,2026,Kia,K5,61,31603.82,36048.28,0
2025-09-01,CR2,210034,U,2018,Kia,Sportage,39,17799.72,19006.79,0
2025-09-01,CR2,210035,N,2026,Kia,Carnival,50,26623.11,29777.14,1
2025-09-01,CR2,210036,N,2026,Kia,Carnival,8,31312.78,33343.37,0
2025-09-01,CR2,210037,N,2025,Kia,Carnival,47,27394.53,29308.38,1
2025-09-01,CR2,210040,U,2025,Chevrolet,Traverse,23,26065.55,29027.32,0
2025-09-01,CR2,210041,N,2026,Kia,Carnival,30,39588.35,41687.53,1
