store_code,month,department,line,amount
CR1,2026-03,total,expense_floorplan_interest,40802.75
CR1,2026-03,total,expense_other,101793.50
CR1,2026-04,new_vehicle,gross,152587.23
CR1,2026-04,used_vehicle,gross,180057.11
CR1,2026-04,wholesale,gross,-3354.63
CR1,2026-04,fi,gross,251092.60
CR1,2026-04,service,gross,166961.03
CR1,2026-04,parts,gross,70549.60
CR1,2026-04,total,expense_personnel,365940.42
CR1,2026-04,total,expense_advertising_net,34896.13
CR1,2026-04,total,expense_rent,61000.00
CR1,2026-04,total,expense_floorplan_interest,30202.13
CR1,2026-04,total,expense_other,139939.30
CR1,2026-05,new_vehicle,gross,190374.94
CR1,2026-05,used_vehicle,gross,230111.76
CR1,2026-05,wholesale,gross,-8121.61
CR1,2026-05,fi,gross,281708.58
CR1,2026-05,service,gross,156373.89
CR1,2026-05,parts,gross,65153.11
CR1,2026-05,total,expense_personnel,422698.83
CR1,2026-05,total,expense_advertising_net,38643.59
CR1,2026-05,total,expense_rent,61000.00
CR1,2026-05,total,expense_floorplan_interest,48683.82
CR1,2026-05,total,expense_other,134325.78
CR1,2026-06,new_vehicle,gross,184572.58
CR1,2026-06,used_vehicle,gross,208725.87
CR1,2026-06,wholesale,gross,-8658.49
CR1,2026-06,fi,gross,285438.12
CR1,2026-06,service,gross,159430.44
CR1,2026-06,parts,gross,68115.85
CR1,2026-06,total,expense_personnel,420784.98
CR1,2026-06,total,expense_advertising_net,36829.56
CR1,2026-06,total,expense_rent,61000.00
CR1,2026-06,total,expense_floorplan_interest,41600.18
CR1,2026-06,total,expense_other,139131.42
CR1,2026-07,new_vehicle,gross,207059.64
CR1,2026-07,used_vehicle,gross,214455.90
CR1,2026-07,wholesale,gross,-7552.06
CR1,2026-07,fi,gross,261773.26
CR1,2026-07,service,gross,166036.41
CR1,2026-07,parts,gross,69622.30
CR1,2026-07,total,expense_personnel,383304.92
CR1,2026-07,total,expense_advertising_net,32738.46
CR1,2026-07,total,expense_rent,61000.00
CR1,2026-07,total,expense_floorplan_interest,36793.82
CR1,2026-07,total,expense_other,131868.59
CR1,2026-08,new_vehicle,gross,230679.86
CR1,2026-08,used_vehicle,gross,227094.94
CR1,2026-08,wholesale,gross,-2797.28
CR1,2026-08,fi,gross,295830.85
CR1,2026-08,service,gross,165040.97
CR1,2026-08,parts,gross,69025.07
CR1,2026-08,total,expense_personnel,461740.03
CR1,2026-08,total,expense_advertising_net,44769.56
CR1,2026-08,total,expense_rent,61000.00
CR1,2026-08,total,expense_floorplan_interest,45453.85
CR1,2026-08,total,expense_other,145444.30
CR1,2026-09,new_vehicle,gross,48174.30
CR1,2026-09,used_vehicle,gross,35253.72
CR1,2026-09,wholesale,gross,-3118.70
CR1,2026-09,fi,gross,52149.52
CR1,2026-09,service,gross,24722.24
CR1,2026-09,parts,gross,9945.07
CR1,2026-09,total,expense_personnel,71282.23
CR1,2026-09,total,expense_advertising_net,41513.18
CR1,2026-09,total,expense_rent,61000.00
CR1,2026-09,total,expense_floorplan_interest,8207.59
CR1,2026-09,total,expense_other,29722.92
CR2,2025-09,new_vehicle,gross,112661.03
CR2,2025-09,used_vehicle,gross,114111.40
CR2,2025-09,wholesale,gross,-4986.35
CR2,2025-09,fi,gross,159278.69
CR2,2025-09,service,gross,104693.44
CR2,2025-09,parts,gross,42246.31
CR2,2025-09,total,expense_personnel,221341.48
CR2,2025-09,total,expense_advertising_net,24759.61
CR2,2025-09,total,expense_rent,48000.00
CR2,2025-09,total,expense_floorplan_interest,27474.36
CR2,2025-09,total,expense_other,76944.49
CR2,2025-10,new_vehicle,gross,114134.67
CR2,2025-10,used_vehicle,gross,131747.83
CR2,2025-10,wholesale,gross,-3357.80
CR2,2025-10,fi,gross,184027.50
CR2,2025-10,service,gross,114442.16
CR2,2025-10,parts,gross,47931.41
CR2,2025-10,total,expense_personnel,265413.91
CR2,2025-10,total,expense_advertising_net,25485.70
CR2,2025-10,total,expense_rent,48000.00
CR2,2025-10,total,expense_floorplan_interest,24504.09
CR2,2025-10,total,expense_other,105086.70
CR2,2025-11,new_vehicle,gross,111215.81
CR2,2025-11,used_vehicle,gross,110653.58
CR2,2025-11,wholesale,gross,-12237.99
CR2,2025-11,fi,gross,139140.41
CR2,2025-11,service,gross,109760.80
CR2,2025-11,parts,gross,45275.50
CR2,2025-11,total,expense_personnel,212638.20
CR2,2025-11,total,expense_advertising_net,26952.27
CR2,2025-11,total,expense_rent,48000.00
CR2,2025-11,total,expense_floorplan_interest,22097.68
CR2,2025-11,total,expense_other,62984.63
CR2,2025-12,new_vehicle,gross,149172.15
CR2,2025-12,used_vehicle,gross,159108.62
CR2,2025-12,wholesale,gross,-6187.24
CR2,2025-12,fi,gross,176253.91
CR2,2025-12,service,gross,134470.97
CR2,2025-12,parts,gross,56638.12
CR2,2025-12,total,expense_personnel,301054.90
CR2,2025-12,total,expense_advertising_net,26093.10
CR2,2025-12,total,expense_rent,48000.00
CR2,2025-12,total,expense_floorplan_interest,34222.18
CR2,2025-12,total,expense_other,97981.23
CR2,2026-01,new_vehicle,gross,81442.99
CR2,2026-01,used_vehicle,gross,124824.94
CR2,2026-01,wholesale,gross,-5176.95
CR2,2026-01,fi,gross,136086.59
CR2,2026-01,service,gross,121435.05
CR2,2026-01,parts,gross,49426.74
CR2,2026-01,total,expense_personnel,210571.17
CR2,2026-01,total,expense_advertising_net,20698.23
CR2,2026-01,total,expense_rent,48000.00
CR2,2026-01,total,expense_floorplan_interest,26479.76
CR2,2026-01,total,expense_other,63268.49
CR2,2026-02,new_vehicle,gross,74009.17
CR2,2026-02,used_vehicle,gross,101246.68
CR2,2026-02,wholesale,gross,-4365.10
CR2,2026-02,fi,gross,116545.76
CR2,2026-02,service,gross,105755.17
CR2,2026-02,parts,gross,43285.59
CR2,2026-02,total,expense_personnel,178285.41
CR2,2026-02,total,expense_advertising_net,23464.70
CR2,2026-02,total,expense_rent,48000.00
CR2,2026-02,total,expense_floorplan_interest,23211.05
CR2,2026-02,total,expense_other,57257.74
CR2,2026-03,new_vehicle,gross,121493.24
CR2,2026-03,used_vehicle,gross,161398.13
CR2,2026-03,wholesale,gross,-9461.01
CR2,2026-03,fi,gross,182576.64
CR2,2026-03,service,gross,121407.08
CR2,2026-03,parts,gross,51547.56
CR2,2026-03,total,expense_personnel,263228.47
CR2,2026-03,total,expense_advertising_net,28809.96
CR2,2026-03,total,expense_rent,48000.00
CR2,2026-03,total,expense_floorplan_interest,28396.20
CR2,2026-03,total,expense_other,108147.73
CR2,2026-04,new_vehicle,gross,113102.35
CR2,2026-04,used_vehicle,gross,142170.99
CR2,2026-04,wholesale,gross,-5828.46
CR2,2026-04,fi,gross,171879.20
CR2,2026-04,service,gross,128723.73
CR2,2026-04,parts,gross,54254.12
CR2,2026-04,total,expense_personnel,266157.51
CR2,2026-04,total,expense_advertising_net,24068.23
CR2,2026-04,total,expense_rent,48000.00
CR2,2026-04,total,expense_floorplan_interest,25468.24
CR2,2026-04,total,expense_other,79265.68
CR2,2026-05,new_vehicle,gross,146565.81
CR2,2026-05,used_vehicle,gross,170431.39
CR2,2026-05,wholesale,gross,-1574.47
CR2,2026-05,fi,gross,187855.05
CR2,2026-05,service,gross,113765.85
CR2,2026-05,parts,gross,47832.58
CR2,2026-05,total,expense_personnel,307847.11
CR2,2026-05,total,expense_advertising_net,25398.87
CR2,2026-05,total,expense_rent,48000.00
CR2,2026-05,total,expense_floorplan_interest,29700.20
CR2,2026-05,total,expense_other,116453.67
CR2,2026-06,new_vehicle,gross,131854.00
CR2,2026-06,used_vehicle,gross,154040.71
CR2,2026-06,wholesale,gross,-6034.86
CR2,2026-06,fi,gross,178413.58
CR2,2026-06,service,gross,123164.16
CR2,2026-06,parts,gross,49453.94
CR2,2026-06,total,expense_personnel,299005.47
CR2,2026-06,total,expense_advertising_net,30737.16
CR2,2026-06,total,expense_rent,48000.00
CR2,2026-06,total,expense_floorplan_interest,26710.70
CR2,2026-06,total,expense_other,78192.42
CR2,2026-07,new_vehicle,gross,117447.03
CR2,2026-07,used_vehicle,gross,139946.65
CR2,2026-07,wholesale,gross,-7249.38
CR2,2026-07,fi,gross,181225.37
CR2,2026-07,service,gross,134916.62
CR2,2026-07,parts,gross,56891.46
CR2,2026-07,total,expense_personnel,297259.87
CR2,2026-07,total,expense_advertising_net,27941.37
CR2,2026-07,total,expense_rent,48000.00
CR2,2026-07,total,expense_floorplan_interest,31546.82
CR2,2026-07,total,expense_other,89107.70
CR2,2026-08,new_vehicle,gross,152837.22
CR2,2026-08,used_vehicle,gross,141366.96
CR2,2026-08,wholesale,gross,-5734.86
CR2,2026-08,fi,gross,197711.53
CR2,2026-08,service,gross,115323.38
CR2,2026-08,parts,gross,48469.82
CR2,2026-08,total,expense_personnel,303071.93
CR2,2026-08,total,expense_advertising_net,28963.49
CR2,2026-08,total,expense_rent,48000.00
CR2,2026-08,total,expense_floorplan_interest,31313.98
CR2,2026-08,total,expense_other,109666.38
CR2,2026-09,new_vehicle,gross,27975.73
CR2,2026-09,used_vehicle,gross,28205.89
CR2,2026-09,wholesale,gross,-3286.27
CR2,2026-09,fi,gross,30379.97
CR2,2026-09,service,gross,12514.98
CR2,2026-09,parts,gross,5612.38
CR2,2026-09,total,expense_personnel,48965.99
CR2,2026-09,total,expense_advertising_net,24425.38
CR2,2026-09,total,expense_rent,48000.00
CR2,2026-09,total,expense_floorplan_interest,5674.98
CR2,2026-09,total,expense_other,17400.87
CR3,2025-09,new_vehicle,gross,260579.82
CR3,2025-09,used_vehicle,gross,181111.76
CR3,2025-09,wholesale,gross,-4043.24
CR3,2025-09,fi,gross,277659.06
CR3,2025-09,service,gross,230837.79
CR3,2025-09,parts,gross,95079.61
CR3,2025-09,total,expense_personnel,493863.46
CR3,2025-09,total,expense_advertising_net,51323.28
CR3,2025-09,total,expense_rent,88000.00
CR3,2025-09,total,expense_floorplan_interest,42331.59
CR3,2025-09,total,expense_other,161535.56
CR3,2025-10,new_vehicle,gross,222138.92
CR3,2025-10,used_vehicle,gross,261313.30
CR3,2025-10,wholesale,gross,-12536.82
CR3,2025-10,fi,gross,311008.08
CR3,2025-10,service,gross,242901.75
CR3,2025-10,parts,gross,100954.58
CR3,2025-10,total,expense_personnel,463430.72
CR3,2025-10,total,expense_advertising_net,49754.03
CR3,2025-10,total,expense_rent,88000.00
CR3,2025-10,total,expense_floorplan_interest,51756.20
CR3,2025-10,total,expense_other,136755.93
CR3,2025-11,new_vehicle,gross,225694.48
CR3,2025-11,used_vehicle,gross,232739.99
CR3,2025-11,wholesale,gross,-9113.29
CR3,2025-11,fi,gross,299354.20
CR3,2025-11,service,gross,217322.52
CR3,2025-11,parts,gross,90988.45
CR3,2025-11,total,expense_personnel,456710.20
CR3,2025-11,total,expense_advertising_net,48257.32
CR3,2025-11,total,expense_rent,88000.00
CR3,2025-11,total,expense_floorplan_interest,46823.78
CR3,2025-11,total,expense_other,135618.13
CR3,2025-12,new_vehicle,gross,273809.50
CR3,2025-12,used_vehicle,gross,286959.73
CR3,2025-12,wholesale,gross,-10474.76
CR3,2025-12,fi,gross,380613.72
CR3,2025-12,service,gross,242049.87
CR3,2025-12,parts,gross,101628.50
CR3,2025-12,total,expense_personnel,590825.83
CR3,2025-12,total,expense_advertising_net,52543.01
CR3,2025-12,total,expense_rent,88000.00
CR3,2025-12,total,expense_floorplan_interest,54327.22
CR3,2025-12,total,expense_other,206063.75
CR3,2026-01,new_vehicle,gross,204482.46
CR3,2026-01,used_vehicle,gross,245687.87
CR3,2026-01,wholesale,gross,-13290.98
CR3,2026-01,fi,gross,283396.94
CR3,2026-01,service,gross,235346.05
CR3,2026-01,parts,gross,97231.77
CR3,2026-01,total,expense_personnel,511090.25
CR3,2026-01,total,expense_advertising_net,41960.27
CR3,2026-01,total,expense_rent,88000.00
CR3,2026-01,total,expense_floorplan_interest,40232.23
CR3,2026-01,total,expense_other,188235.28
CR3,2026-02,new_vehicle,gross,210144.69
CR3,2026-02,used_vehicle,gross,159326.33
CR3,2026-02,wholesale,gross,-3097.65
CR3,2026-02,fi,gross,262447.10
CR3,2026-02,service,gross,200266.01
CR3,2026-02,parts,gross,83890.81
CR3,2026-02,total,expense_personnel,423859.92
CR3,2026-02,total,expense_advertising_net,46274.45
CR3,2026-02,total,expense_rent,88000.00
CR3,2026-02,total,expense_floorplan_interest,39276.10
CR3,2026-02,total,expense_other,119293.75
CR3,2026-03,new_vehicle,gross,289110.53
CR3,2026-03,used_vehicle,gross,215238.28
CR3,2026-03,wholesale,gross,-11894.63
CR3,2026-03,fi,gross,343686.97
CR3,2026-03,service,gross,225505.61
CR3,2026-03,parts,gross,93932.10
CR3,2026-03,total,expense_personnel,468465.36
CR3,2026-03,total,expense_advertising_net,55397.47
CR3,2026-03,total,expense_rent,88000.00
CR3,2026-03,total,expense_floorplan_interest,47320.91
CR3,2026-03,total,expense_other,144116.37
CR3,2026-04,new_vehicle,gross,233235.67
CR3,2026-04,used_vehicle,gross,222727.60
CR3,2026-04,wholesale,gross,-5312.50
CR3,2026-04,fi,gross,308185.82
CR3,2026-04,service,gross,248471.73
CR3,2026-04,parts,gross,102975.60
CR3,2026-04,total,expense_personnel,474203.17
CR3,2026-04,total,expense_advertising_net,56228.86
CR3,2026-04,total,expense_rent,88000.00
CR3,2026-04,total,expense_floorplan_interest,45489.13
CR3,2026-04,total,expense_other,197823.31
CR3,2026-05,new_vehicle,gross,261636.36
CR3,2026-05,used_vehicle,gross,297566.86
CR3,2026-05,wholesale,gross,-9412.89
CR3,2026-05,fi,gross,350573.85
CR3,2026-05,service,gross,236771.55
CR3,2026-05,parts,gross,98896.35
CR3,2026-05,total,expense_personnel,594539.54
CR3,2026-05,total,expense_advertising_net,48878.54
CR3,2026-05,total,expense_rent,88000.00
CR3,2026-05,total,expense_floorplan_interest,54015.77
CR3,2026-05,total,expense_other,178801.85
CR3,2026-06,new_vehicle,gross,238615.87
CR3,2026-06,used_vehicle,gross,254350.53
CR3,2026-06,wholesale,gross,-20078.09
CR3,2026-06,fi,gross,331386.46
CR3,2026-06,service,gross,231968.76
CR3,2026-06,parts,gross,94645.20
CR3,2026-06,total,expense_personnel,517114.08
CR3,2026-06,total,expense_advertising_net,54083.72
CR3,2026-06,total,expense_rent,88000.00
CR3,2026-06,total,expense_floorplan_interest,52418.41
CR3,2026-06,total,expense_other,176248.23
CR3,2026-07,new_vehicle,gross,217627.73
CR3,2026-07,used_vehicle,gross,208518.32
CR3,2026-07,wholesale,gross,-6697.20
CR3,2026-07,fi,gross,315840.85
CR3,2026-07,service,gross,243087.57
CR3,2026-07,parts,gross,101942.33
CR3,2026-07,total,expense_personnel,440852.57
CR3,2026-07,total,expense_advertising_net,48750.04
CR3,2026-07,total,expense_rent,88000.00
CR3,2026-07,total,expense_floorplan_interest,44193.18
CR3,2026-07,total,expense_other,190503.35
CR3,2026-08,new_vehicle,gross,257407.75
CR3,2026-08,used_vehicle,gross,262804.57
CR3,2026-08,wholesale,gross,-12568.98
CR3,2026-08,fi,gross,362641.21
CR3,2026-08,service,gross,221101.57
CR3,2026-08,parts,gross,93114.66
CR3,2026-08,total,expense_personnel,561567.41
CR3,2026-08,total,expense_advertising_net,54092.84
CR3,2026-08,total,expense_rent,88000.00
CR3,2026-08,total,expense_floorplan_interest,67463.74
CR3,2026-08,total,expense_other,175834.40
CR3,2026-09,new_vehicle,gross,42337.46
CR3,2026-09,used_vehicle,gross,44315.21
CR3,2026-09,wholesale,gross,-1026.35
CR3,2026-09,fi,gross,60555.03
CR3,2026-09,service,gross,32474.83
CR3,2026-09,parts,gross,13482.08
CR3,2026-09,total,expense_personnel,91594.32
CR3,2026-09,total,expense_advertising_net,52857.34
CR3,2026-09,total,expense_rent,88000.00
CR3,2026-09,total,expense_floorplan_interest,12129.18
CR3,2026-09,total,expense_other,31292.03
CR4,2025-09,new_vehicle,gross,187086.22
CR4,2025-09,used_vehicle,gross,214886.35
CR4,2025-09,wholesale,gross,-9265.15
CR4,2025-09,fi,gross,267562.16
CR4,2025-09,service,gross,204999.63
CR4,2025-09,parts,gross,86974.61
CR4,2025-09,total,expense_personnel,402029.88
CR4,2025-09,total,expense_advertising_net,40033.90
CR4,2025-09,total,expense_rent,74000.00
CR4,2025-09,total,expense_floorplan_interest,41358.72
CR4,2025-09,total,expense_other,172130.95
CR4,2025-10,new_vehicle,gross,234307.43
CR4,2025-10,used_vehicle,gross,161192.35
CR4,2025-10,wholesale,gross,-12199.98
CR4,2025-10,fi,gross,270505.22
CR4,2025-10,service,gross,206217.27
CR4,2025-10,parts,gross,86350.86
CR4,2025-10,total,expense_personnel,457749.13
CR4,2025-10,total,expense_advertising_net,39347.67
CR4,2025-10,total,expense_rent,74000.00
CR4,2025-10,total,expense_floorplan_interest,49893.48
CR4,2025-10,total,expense_other,118500.04
CR4,2025-11,new_vehicle,gross,195810.32
CR4,2025-11,used_vehicle,gross,185256.03
CR4,2025-11,wholesale,gross,-13044.13
CR4,2025-11,fi,gross,275714.70
CR4,2025-11,service,gross,198338.80
CR4,2025-11,parts,gross,83316.65
CR4,2025-11,total,expense_personnel,390282.49
CR4,2025-11,total,expense_advertising_net,37527.72
CR4,2025-11,total,expense_rent,74000.00
CR4,2025-11,total,expense_floorplan_interest,47002.27
CR4,2025-11,total,expense_other,144619.15
CR4,2025-12,new_vehicle,gross,230867.56
CR4,2025-12,used_vehicle,gross,226257.29
CR4,2025-12,wholesale,gross,-13829.07
CR4,2025-12,fi,gross,314279.52
CR4,2025-12,service,gross,193363.55
CR4,2025-12,parts,gross,80085.04
CR4,2025-12,total,expense_personnel,486804.85
CR4,2025-12,total,expense_advertising_net,42619.46
CR4,2025-12,total,expense_rent,74000.00
CR4,2025-12,total,expense_floorplan_interest,58019.71
CR4,2025-12,total,expense_other,155749.24
CR4,2026-01,new_vehicle,gross,170241.37
CR4,2026-01,used_vehicle,gross,141266.52
CR4,2026-01,wholesale,gross,-8092.48
CR4,2026-01,fi,gross,215595.53
CR4,2026-01,service,gross,190341.21
CR4,2026-01,parts,gross,79427.03
CR4,2026-01,total,expense_personnel,319238.10
CR4,2026-01,total,expense_advertising_net,32421.01
CR4,2026-01,total,expense_rent,74000.00
CR4,2026-01,total,expense_floorplan_interest,35980.32
CR4,2026-01,total,expense_other,126278.80
CR4,2026-02,new_vehicle,gross,157670.14
CR4,2026-02,used_vehicle,gross,163580.26
CR4,2026-02,wholesale,gross,-4571.50
CR4,2026-02,fi,gross,222821.34
CR4,2026-02,service,gross,181898.78
CR4,2026-02,parts,gross,77747.21
CR4,2026-02,total,expense_personnel,351410.54
CR4,2026-02,total,expense_advertising_net,41408.86
CR4,2026-02,total,expense_rent,74000.00
CR4,2026-02,total,expense_floorplan_interest,32054.03
CR4,2026-02,total,expense_other,99658.22
CR4,2026-03,new_vehicle,gross,192286.07
CR4,2026-03,used_vehicle,gross,182479.72
CR4,2026-03,wholesale,gross,-7584.82
CR4,2026-03,fi,gross,245777.56
CR4,2026-03,service,gross,191341.57
CR4,2026-03,parts,gross,81466.72
CR4,2026-03,total,expense_personnel,365242.62
CR4,2026-03,total,expense_advertising_net,42937.71
CR4,2026-03,total,expense_rent,74000.00
CR4,2026-03,total,expense_floorplan_interest,51212.14
CR4,2026-03,total,expense_other,160366.18
CR4,2026-04,new_vehicle,gross,185420.57
CR4,2026-04,used_vehicle,gross,261085.66
CR4,2026-04,wholesale,gross,-4058.65
CR4,2026-04,fi,gross,289781.65
CR4,2026-04,service,gross,210500.25
CR4,2026-04,parts,gross,85596.88
CR4,2026-04,total,expense_personnel,475660.75
CR4,2026-04,total,expense_advertising_net,43548.46
CR4,2026-04,total,expense_rent,74000.00
CR4,2026-04,total,expense_floorplan_interest,42629.49
CR4,2026-04,total,expense_other,155695.87
CR4,2026-05,new_vehicle,gross,226935.65
CR4,2026-05,used_vehicle,gross,252309.78
CR4,2026-05,wholesale,gross,-11275.89
CR4,2026-05,fi,gross,309477.83
CR4,2026-05,service,gross,195117.48
CR4,2026-05,parts,gross,79074.14
CR4,2026-05,total,expense_personnel,441423.15
CR4,2026-05,total,expense_advertising_net,39030.01
CR4,2026-05,total,expense_rent,74000.00
CR4,2026-05,total,expense_floorplan_interest,56576.75
CR4,2026-05,total,expense_other,131698.04
CR4,2026-06,new_vehicle,gross,191352.23
CR4,2026-06,used_vehicle,gross,242298.28
CR4,2026-06,wholesale,gross,-7241.22
CR4,2026-06,fi,gross,284899.95
CR4,2026-06,service,gross,195070.98
CR4,2026-06,parts,gross,82358.33
CR4,2026-06,total,expense_personnel,472869.28
CR4,2026-06,total,expense_advertising_net,43695.99
CR4,2026-06,total,expense_rent,74000.00
CR4,2026-06,total,expense_floorplan_interest,46213.55
CR4,2026-06,total,expense_other,168169.37
CR4,2026-07,new_vehicle,gross,183125.48
CR4,2026-07,used_vehicle,gross,235268.66
CR4,2026-07,wholesale,gross,-10747.85
CR4,2026-07,fi,gross,274195.55
CR4,2026-07,service,gross,219049.08
CR4,2026-07,parts,gross,92356.70
CR4,2026-07,total,expense_personnel,459120.66
CR4,2026-07,total,expense_advertising_net,49409.51
CR4,2026-07,total,expense_rent,74000.00
CR4,2026-07,total,expense_floorplan_interest,48928.53
CR4,2026-07,total,expense_other,167499.97
CR4,2026-08,new_vehicle,gross,218036.14
CR4,2026-08,used_vehicle,gross,224089.77
CR4,2026-08,wholesale,gross,-10777.07
CR4,2026-08,fi,gross,302054.97
CR4,2026-08,service,gross,188937.95
CR4,2026-08,parts,gross,79368.78
CR4,2026-08,total,expense_personnel,424442.75
CR4,2026-08,total,expense_advertising_net,55688.41
CR4,2026-08,total,expense_rent,74000.00
CR4,2026-08,total,expense_floorplan_interest,45228.58
CR4,2026-08,total,expense_other,158374.16
CR4,2026-09,new_vehicle,gross,40065.04
CR4,2026-09,used_vehicle,gross,55760.75
CR4,2026-09,wholesale,gross,-2522.40
CR4,2026-09,fi,gross,56413.11
CR4,2026-09,service,gross,26550.15
CR4,2026-09,parts,gross,11081.69
CR4,2026-09,total,expense_personnel,77867.01
CR4,2026-09,total,expense_advertising_net,39463.36
CR4,2026-09,total,expense_rent,74000.00
CR4,2026-09,total,expense_floorplan_interest,10444.92
CR4,2026-09,total,expense_other,31432.38
