store_code,report_date,unit_count,deal_count,new_units,used_units,front_gross,fi_gross,total_gross,doc_fee
CR1,2026-02-18,4,4,2,2,10858.08,9299.63,"20,157.71",2896.00
CR1,2026-02-19,3,3,2,1,5735.08,5271.20,"11,006.28",2297.00
CR1,2026-02-20,8,8,4,4,23170.46,9399.88,"32,570.34",5892.00
CR1,2026-02-21,6,6,3,3,15689.16,5824.68,"21,513.84",4494.00
CR1,2026-02-22,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-02-23,5,5,5,0,4963.02,10995.99,"15,959.01",3795.00
CR1,2026-02-24,1,1,1,0,868.08,0.00,868.08,899.00
CR1,2026-02-25,4,4,2,2,7845.65,7113.42,"14,959.07",3096.00
CR1,2026-02-26,7,7,3,4,13443.27,9776.86,"23,220.13",5393.00
CR1,2026-02-27,9,9,5,4,18414.35,8813.74,"27,228.09",7091.00
CR1,2026-02-28,8,8,6,2,10264.95,3589.18,"13,854.13",6592.00
CR1,2026-03-01,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-03-02,8,8,5,3,14298.63,4906.10,"19,204.73",6892.00
CR1,2026-03-03,10,10,6,4,24168.00,7874.12,"32,042.12",7890.00
CR1,2026-03-04,7,7,4,3,13082.49,8407.92,"21,490.41",5093.00
CR1,2026-03-05,7,7,5,2,17459.24,8553.31,"26,012.55",5593.00
CR1,2026-03-06,8,8,5,3,15052.81,14272.15,"29,324.96",5692.00
CR1,2026-03-07,9,9,3,6,19189.28,14504.91,"33,694.19",7091.00
CR1,2026-03-08,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-03-09,5,5,4,1,3215.81,6402.53,"9,618.34",4195.00
CR1,2026-03-10,6,6,2,4,14565.03,4592.72,"19,157.75",4694.00
CR1,2026-03-11,4,4,2,2,10427.64,6738.77,"17,166.41",2996.00
CR1,2026-03-12,7,7,4,3,16372.12,9204.83,"25,576.95",5293.00
CR1,2026-03-13,6,6,4,2,8922.94,7148.11,"16,071.05",4794.00
CR1,2026-03-14,13,13,9,4,29787.47,12739.23,"42,526.70",10187.00
CR1,2026-03-15,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-03-16,9,9,5,4,15115.80,13722.19,"28,837.99",7191.00
CR1,2026-03-17,5,5,2,3,11203.72,5362.69,"16,566.41",3495.00
CR1,2026-03-18,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-03-19,5,5,3,2,12575.44,9985.34,"22,560.78",4095.00
CR1,2026-03-20,9,9,7,2,15023.19,7712.09,"22,735.28",6691.00
CR1,2026-03-21,11,11,6,5,25177.22,21855.05,"47,032.27",8689.00
CR1,2026-03-22,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-03-23,1,1,0,1,2384.05,884.69,"3,268.74",699.00
CR1,2026-03-24,9,9,4,5,20717.00,13703.15,"34,420.15",7191.00
CR1,2026-03-25,8,8,5,3,15014.24,9381.09,"24,395.33",6292.00
CR1,2026-03-26,3,3,2,1,5466.72,1851.51,"7,318.23",2197.00
CR1,2026-03-27,6,6,0,6,18149.95,5398.91,"23,548.86",4394.00
CR1,2026-03-28,10,10,8,2,15509.20,15013.03,"30,522.23",7290.00
CR1,2026-03-29,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-03-30,6,6,3,3,11129.24,8792.07,"19,921.31",5094.00
CR1,2026-03-31,5,5,3,2,7046.28,5462.46,"12,508.74",4195.00
CR1,2026-04-01,5,5,3,2,12823.98,8979.68,"21,803.66",3695.00
CR1,2026-04-02,6,6,4,2,9869.01,8753.52,"18,622.53",4494.00
CR1,2026-04-03,8,8,4,4,11766.44,9909.87,"21,676.31",6492.00
CR1,2026-04-04,12,12,7,5,17349.29,14096.16,"31,445.45",9788.00
CR1,2026-04-05,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-04-06,8,8,6,2,18972.66,15002.32,"33,974.98",5792.00
CR1,2026-04-07,6,6,1,5,14403.17,7649.48,"22,052.65",4594.00
CR1,2026-04-08,9,9,6,3,19307.56,9882.24,"29,189.80",6991.00
CR1,2026-04-09,4,4,1,3,13005.54,7749.47,"20,755.01",3296.00
CR1,2026-04-10,4,4,2,2,10465.99,6154.06,"16,620.05",3296.00
CR1,2026-04-11,3,3,2,1,6572.30,2061.32,"8,633.62",2297.00
CR1,2026-04-12,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-04-13,4,4,3,1,4617.66,5390.33,"10,007.99",3196.00
CR1,2026-04-14,3,3,1,2,8831.46,2952.69,"11,784.15",2297.00
CR1,2026-04-15,6,6,4,2,5293.51,8114.64,"13,408.15",4494.00
CR1,2026-04-16,7,7,5,2,18841.15,12965.42,"31,806.57",5093.00
CR1,2026-04-17,8,8,4,4,16475.89,11305.68,"27,781.57",6392.00
CR1,2026-04-18,9,9,4,5,23323.45,14851.70,"38,175.15",7191.00
CR1,2026-04-19,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-04-20,6,6,4,2,16205.19,10021.38,"26,226.57",4794.00
CR1,2026-04-21,5,5,1,4,14617.33,8368.84,"22,986.17",3895.00
CR1,2026-04-22,5,5,2,3,7967.49,8469.67,"16,437.16",3795.00
CR1,2026-04-23,5,5,2,3,8252.38,6283.87,"14,536.25",3995.00
CR1,2026-04-24,8,8,5,3,15802.12,12585.79,"28,387.91",6092.00
CR1,2026-04-25,11,11,9,2,19621.87,16636.03,"36,257.90",8589.00
CR1,2026-04-26,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-04-27,3,3,2,1,5678.42,4432.35,"10,110.77",2497.00
CR1,2026-04-28,6,6,4,2,12710.47,12854.65,"25,565.12",4394.00
CR1,2026-04-29,8,8,7,1,12927.08,18801.54,"31,728.62",6392.00
CR1,2026-04-30,6,6,5,1,6942.93,6819.90,"13,762.83",4294.00
CR1,2026-05-01,7,7,3,4,15076.55,8461.41,"23,537.96",5693.00
CR1,2026-05-02,12,12,8,4,22860.44,15984.96,"38,845.40",9088.00
CR1,2026-05-03,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-05-04,7,7,4,3,15193.70,10771.09,"25,964.79",5593.00
CR1,2026-05-05,11,11,7,4,23463.12,12270.86,"35,733.98",8089.00
CR1,2026-05-06,5,5,3,2,10401.26,7283.12,"17,684.38",3995.00
CR1,2026-05-07,4,4,1,3,8110.13,7493.19,"15,603.32",3096.00
CR1,2026-05-08,8,8,4,4,16813.07,11785.90,"28,598.97",6192.00
CR1,2026-05-09,10,10,5,5,24408.60,15004.37,"39,412.97",7590.00
CR1,2026-05-10,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-05-11,10,10,7,3,13788.90,15883.43,"29,672.33",7290.00
CR1,2026-05-12,3,3,2,1,6388.93,5451.40,"11,840.33",2297.00
CR1,2026-05-13,11,11,6,5,29718.34,18076.19,"47,794.53",9189.00
CR1,2026-05-14,8,8,3,5,18429.36,8271.26,"26,700.62",6492.00
CR1,2026-05-15,5,5,3,2,7542.35,3282.93,"10,825.28",3895.00
CR1,2026-05-16,8,8,5,3,15577.97,8600.60,"24,178.57",6292.00
CR1,2026-05-17,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-05-18,6,6,3,3,12858.23,6726.14,"19,584.37",4694.00
CR1,2026-05-19,4,4,3,1,6303.04,6071.85,"12,374.89",2996.00
CR1,2026-05-20,5,5,3,2,10275.77,6314.35,"16,590.12",3695.00
CR1,2026-05-21,8,8,2,6,18872.16,13796.45,"32,668.61",6292.00
CR1,2026-05-22,7,7,5,2,15581.12,7980.74,"23,561.86",5193.00
CR1,2026-05-23,13,13,9,4,24333.65,21219.66,"45,553.31",10287.00
CR1,2026-05-24,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-05-25,4,4,2,2,7615.70,8340.77,"15,956.47",2896.00
CR1,2026-05-26,4,4,1,3,14305.64,6988.53,"21,294.17",2996.00
CR1,2026-05-27,10,10,7,3,24805.92,13543.08,"38,349.00",7890.00
CR1,2026-05-28,5,5,2,3,11794.47,6442.36,"18,236.83",3995.00
CR1,2026-05-29,10,10,6,4,21940.84,15589.50,"37,530.34",7690.00
CR1,2026-05-30,12,12,7,5,24027.44,20074.44,"44,101.88",9288.00
CR1,2026-05-31,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-06-01,8,8,5,3,18379.32,13203.14,"31,582.46",5692.00
CR1,2026-06-02,7,7,4,3,16684.59,14418.57,"31,103.16",5493.00
CR1,2026-06-03,6,6,4,2,10420.40,14090.18,"24,510.58",4894.00
CR1,2026-06-04,10,10,5,5,28450.24,15614.01,"44,064.25",7490.00
CR1,2026-06-05,11,11,7,4,22332.10,14421.57,"36,753.67",8189.00
CR1,2026-06-06,9,9,6,3,16476.03,12555.70,"29,031.73",6791.00
CR1,2026-06-07,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-06-08,5,5,3,2,9701.96,5773.24,"15,475.20",3795.00
CR1,2026-06-09,8,8,7,1,9950.85,12341.02,"22,291.87",6392.00
CR1,2026-06-10,6,6,2,4,14392.96,7595.79,"21,988.75",4494.00
CR1,2026-06-11,9,9,4,5,22269.84,12545.83,"34,815.67",6791.00
CR1,2026-06-12,12,12,9,3,18434.49,18230.91,"36,665.40",9288.00
CR1,2026-06-13,11,11,6,5,19688.24,10965.75,"30,653.99",7989.00
CR1,2026-06-14,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-06-15,8,8,5,3,17177.54,13200.92,"30,378.46",5792.00
CR1,2026-06-16,9,9,6,3,14815.03,10978.41,"25,793.44",7191.00
CR1,2026-06-17,7,7,2,5,19950.10,6418.66,"26,368.76",5493.00
CR1,2026-06-18,11,11,8,3,22599.33,17203.31,"39,802.64",8889.00
CR1,2026-06-19,5,5,4,1,12864.51,6903.34,"19,767.85",3495.00
CR1,2026-06-20,6,6,5,1,5447.48,6222.07,"11,669.55",4494.00
CR1,2026-06-21,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-06-22,4,4,2,2,7399.69,4368.77,"11,768.46",3196.00
CR1,2026-06-23,8,8,3,5,13115.90,14354.63,"27,470.53",6392.00
CR1,2026-06-24,4,4,4,0,6218.10,8104.42,"14,322.52",3196.00
CR1,2026-06-25,8,8,5,3,18805.67,10143.19,"28,948.86",6092.00
CR1,2026-06-26,2,2,1,1,4882.74,4220.64,"9,103.38",1598.00
CR1,2026-06-27,11,11,11,0,15586.88,18798.25,"34,385.13",8489.00
CR1,2026-06-28,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-06-29,5,5,0,5,14804.90,4902.79,"19,707.69",4195.00
CR1,2026-06-30,7,7,3,4,12449.56,7863.01,"20,312.57",5493.00
CR1,2026-07-01,6,6,4,2,11771.60,9549.90,"21,321.50",4194.00
CR1,2026-07-02,7,7,7,0,9281.42,10046.70,"19,328.12",5593.00
CR1,2026-07-03,15,15,9,6,34429.96,19191.29,"53,621.25",11785.00
CR1,2026-07-04,9,9,6,3,23331.06,13900.26,"37,231.32",7291.00
CR1,2026-07-05,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-07-06,6,6,6,0,9154.06,3796.01,"12,950.07",4294.00
CR1,2026-07-07,7,7,6,1,13086.62,9417.53,"22,504.15",5193.00
CR1,2026-07-08,10,10,3,7,29074.97,15955.75,"45,030.72",7590.00
CR1,2026-07-09,7,7,2,5,18025.22,12087.06,"30,112.28",5493.00
CR1,2026-07-10,7,7,3,4,15600.45,9950.53,"25,550.98",5393.00
CR1,2026-07-11,9,9,4,5,17901.84,11233.68,"29,135.52",6291.00
CR1,2026-07-12,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-07-13,5,5,4,1,7865.14,4515.41,"12,380.55",3895.00
CR1,2026-07-14,7,7,5,2,12214.27,4880.37,"17,094.64",5493.00
CR1,2026-07-15,8,8,4,4,16235.69,10258.08,"26,493.77",5892.00
CR1,2026-07-16,9,9,6,3,15173.26,10031.08,"25,204.34",6591.00
CR1,2026-07-17,10,10,7,3,18558.97,12304.42,"30,863.39",7290.00
CR1,2026-07-18,6,6,4,2,12952.70,4390.90,"17,343.60",4494.00
CR1,2026-07-19,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-07-20,7,7,5,2,12125.21,9407.38,"21,532.59",5693.00
CR1,2026-07-21,3,3,1,2,7340.52,3424.46,"10,764.98",2097.00
CR1,2026-07-22,6,6,4,2,14635.52,8731.80,"23,367.32",4194.00
CR1,2026-07-23,7,7,4,3,12793.51,11159.12,"23,952.63",5093.00
CR1,2026-07-24,8,8,4,4,15608.21,5999.91,"21,608.12",6392.00
CR1,2026-07-25,11,11,8,3,25863.50,15956.28,"41,819.78",7989.00
CR1,2026-07-26,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-07-27,5,5,3,2,9164.62,7614.54,"16,779.16",3895.00
CR1,2026-07-28,4,4,3,1,8800.14,7028.00,"15,828.14",3096.00
CR1,2026-07-29,7,7,5,2,14485.65,9398.82,"23,884.47",5393.00
CR1,2026-07-30,7,7,4,3,19070.67,9869.73,"28,940.40",5293.00
CR1,2026-07-31,7,7,6,1,16970.76,11674.25,"28,645.01",5293.00
CR1,2026-08-01,9,9,6,3,20068.80,10115.54,"30,184.34",7291.00
CR1,2026-08-02,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-08-03,9,9,5,4,18865.80,9337.49,"28,203.29",6891.00
CR1,2026-08-04,7,7,5,2,15051.21,7155.69,"22,206.90",5393.00
CR1,2026-08-05,2,2,0,2,4882.99,3776.14,"8,659.13",1398.00
CR1,2026-08-06,7,7,3,4,15423.36,8342.77,"23,766.13",5193.00
CR1,2026-08-07,10,10,7,3,20934.14,9692.07,"30,626.21",7490.00
CR1,2026-08-08,12,12,7,5,26781.83,13919.20,"40,701.03",9788.00
CR1,2026-08-09,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-08-10,4,4,2,2,8027.78,7106.64,"15,134.42",2996.00
CR1,2026-08-11,6,6,3,3,9770.74,8556.41,"18,327.15",4894.00
CR1,2026-08-12,10,10,5,5,19026.45,10075.99,"29,102.44",7490.00
